record_id,month,month_name,department,employee_count,gross_wages,fica_medicare_tax,futa_tax,suta_tax,total_payroll_taxes,health_insurance,retirement_401k_match,life_insurance,disability_insurance,total_benefits,bonus_accrual,vacation_accrual,workers_comp_insurance,total_compensation_cost,avg_cost_per_employee
PL-000001,2021-11,November 2021,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,2557.69,837.05,102.83,68.03,3565.59,267.88,1703.08,349.89,29505.98,7376.49
PL-000002,2021-11,November 2021,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,1131.75,376.93,87.67,52.81,1649.16,88.82,852.66,223.6,14639.59,7319.8
PL-000003,2021-11,November 2021,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,2474.98,1665.81,232.81,86.65,4460.25,134.76,2230.47,562.17,38321.45,7664.29
PL-000004,2021-11,November 2021,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,4124.61,2292.1,218.28,178.43,6813.42,178.83,3433.61,957.83,59003.51,7375.44
PL-000005,2021-11,November 2021,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2549.03,1073.26,104.57,78.4,3805.26,169.11,1764.57,679.16,30890.54,7722.64
PL-000006,2021-11,November 2021,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,4138.77,1944.53,188.5,182.82,6454.62,445.05,3118.63,847.71,54117.55,7731.08
PL-000007,2021-11,November 2021,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,2573.91,897.73,173.46,112.64,3757.74,216.77,1691.89,645.7,29776.53,7444.13
PL-000008,2021-11,November 2021,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,8808.43,3845.58,562.14,310.7,13526.85,544.84,6153.53,1854.7,107421.74,7672.98
PL-000009,2021-11,November 2021,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,5540.7,2231.17,398.17,235.37,8405.41,967.19,5046.22,1659.76,86063.28,7171.94
PL-000010,2021-11,November 2021,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,5817.96,2126.23,509.23,287.87,8741.29,674.17,4940.48,1778.56,84652.81,7054.4
PL-000011,2021-12,December 2021,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,1885.76,1272.21,164.68,84.21,3406.85,267.88,1703.08,679.78,29677.13,7419.28
PL-000012,2021-12,December 2021,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,1030.84,527.51,73.56,40.07,1671.98,88.82,852.66,246.96,14685.77,7342.88
PL-000013,2021-12,December 2021,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,2546.61,1176.87,159.23,119.94,4002.65,134.76,2230.47,693.69,37995.36,7599.07
PL-000014,2021-12,December 2021,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,3858.01,1406.41,232.8,225.07,5722.29,178.83,3433.61,1228.01,58182.56,7272.82
PL-000015,2021-12,December 2021,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2162.07,794.14,195.38,75.81,3227.4,169.11,1764.57,403.49,30037.0,7509.25
PL-000016,2021-12,December 2021,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,3600.48,1302.76,218.59,162.11,5283.93,445.05,3118.63,980.05,53079.2,7582.74
PL-000017,2021-12,December 2021,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,2529.28,820.31,160.09,80.45,3590.13,216.77,1691.89,541.25,29504.47,7376.12
PL-000018,2021-12,December 2021,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,8589.58,4289.78,535.46,262.78,13677.6,544.84,6153.53,2568.44,108286.23,7734.73
PL-000019,2021-12,December 2021,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,7197.1,2858.07,421.8,318.39,10795.35,967.19,5046.22,1403.83,88197.29,7349.77
PL-000020,2021-12,December 2021,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,7162.62,3063.19,572.41,224.63,11022.84,674.17,4940.48,1596.25,86752.04,7229.34
PL-000021,2022-01,January 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,1992.35,1208.71,107.24,82.05,3390.35,267.88,1703.08,442.75,29423.6,7355.9
PL-000022,2022-01,January 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,1284.06,596.51,69.97,48.45,1998.99,88.82,852.66,183.54,14949.36,7474.68
PL-000023,2022-01,January 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,2945.88,1176.69,136.64,76.63,4335.84,134.76,2230.47,932.24,38567.1,7713.42
PL-000024,2022-01,January 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,3715.01,1718.67,362.73,194.49,5990.9,178.83,3433.61,1461.1,58684.27,7335.53
PL-000025,2022-01,January 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2255.96,836.76,144.18,87.27,3324.17,169.11,1764.57,468.36,30198.64,7549.66
PL-000026,2022-01,January 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,3300.76,1642.44,344.19,145.71,5433.1,445.05,3118.63,1023.49,53271.81,7610.26
PL-000027,2022-01,January 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,1849.73,1259.18,188.18,112.53,3409.63,216.77,1691.89,734.34,29517.06,7379.26
PL-000028,2022-01,January 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,6905.56,3864.53,522.1,375.96,11668.14,544.84,6153.53,1171.65,104879.97,7491.43
PL-000029,2022-01,January 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,6208.51,3386.85,365.64,197.02,10158.03,967.19,5046.22,1025.85,87181.99,7265.17
PL-000030,2022-01,January 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,5610.8,2413.65,576.05,211.5,8812.0,674.17,4940.48,1977.39,84922.34,7076.86
PL-000031,2022-02,February 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,1959.34,765.67,108.71,100.68,2934.39,267.88,1703.08,699.49,29224.37,7306.09
PL-000032,2022-02,February 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,1291.49,524.65,69.36,54.54,1940.04,88.82,852.66,291.46,14998.33,7499.16
PL-000033,2022-02,February 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,2300.34,1648.35,213.64,135.78,4298.1,134.76,2230.47,906.81,38503.93,7700.79
PL-000034,2022-02,February 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,3633.29,2280.1,301.4,132.71,6347.5,178.83,3433.61,1170.85,58750.61,7343.83
PL-000035,2022-02,February 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,2225.41,1120.05,187.09,70.09,3602.63,169.11,1764.57,550.52,30559.27,7639.82
PL-000036,2022-02,February 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,3278.62,2320.69,335.57,127.43,6062.31,445.05,3118.63,1259.1,54136.63,7733.8
PL-000037,2022-02,February 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,1964.75,864.57,131.6,104.63,3065.54,216.77,1691.89,556.7,28995.32,7248.83
PL-000038,2022-02,February 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,6636.07,2660.27,468.69,279.57,10044.6,544.84,6153.53,1863.18,103947.96,7424.85
PL-000039,2022-02,February 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,6319.59,2441.85,580.98,226.64,9569.06,967.19,5046.22,2061.66,87628.84,7302.4
PL-000040,2022-02,February 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,7580.72,3358.27,455.3,344.06,11738.35,674.17,4940.48,1899.78,87771.09,7314.26
PL-000041,2022-03,March 2022,Executive Leadership,4,21288.45,1628.57,127.73,574.79,2331.09,2585.23,1232.93,147.95,105.04,4071.15,267.88,1703.08,375.05,30036.69,7509.17
PL-000042,2022-03,March 2022,Human Resources,2,10658.27,815.36,63.95,287.77,1167.08,1057.42,623.23,58.8,44.99,1784.44,88.82,852.66,222.94,14774.21,7387.11
PL-000043,2022-03,March 2022,Sales & Marketing,5,27880.85,2132.88,167.29,752.78,3052.95,2324.47,1156.68,193.01,135.86,3810.01,134.76,2230.47,729.48,37838.52,7567.7
PL-000044,2022-03,March 2022,Product Development,8,42920.08,3283.39,257.52,1158.84,4699.75,3971.08,1486.07,287.28,129.96,5874.4,178.83,3433.61,1057.39,58164.06,7270.51
PL-000045,2022-03,March 2022,Manufacturing,4,22057.18,1687.37,132.34,595.54,2415.26,1925.48,1289.41,113.56,74.8,3403.26,169.11,1764.57,578.93,30388.31,7597.08
PL-000046,2022-03,March 2022,Quality Assurance,7,38982.9,2982.19,233.9,1052.54,4268.63,4054.71,1680.56,218.61,130.78,6084.66,445.05,3118.63,696.14,53596.02,7656.57
PL-000047,2022-03,March 2022,Customer Service,4,21148.64,1617.87,126.89,571.01,2315.78,2097.88,1151.13,129.99,118.49,3497.48,216.77,1691.89,536.02,29406.59,7351.65
PL-000048,2022-03,March 2022,Finance,14,76919.16,5884.32,461.51,2076.82,8422.65,8031.37,4267.73,625.28,357.69,13282.06,544.84,6153.53,2441.2,107763.44,7697.39
PL-000049,2022-03,March 2022,IT & Systems,12,63077.7,4825.44,378.47,1703.1,6907.01,7155.68,2043.47,363.34,250.14,9812.64,967.19,5046.22,2124.78,87935.54,7327.96
PL-000050,2022-03,March 2022,Legal & Compliance,12,61756.02,4724.34,370.54,1667.41,6762.28,7174.92,3113.33,549.33,273.96,11111.54,674.17,4940.48,1204.99,86449.48,7204.12
