tax_id,quarter,year,quarter_num,gross_payroll,federal_income_tax_withheld,social_security_employer,medicare_employer,social_security_employee,medicare_employee,additional_medicare_tax,futa_tax,suta_tax,workers_comp_tax,total_employer_taxes,total_employee_withholdings,total_tax_liability,payment_due_date,payment_status,filing_form
TAX-000001,Q4 2021,2021,4,7452785.3,1538165.95,462072.69,108065.39,462072.69,108065.39,16768.77,44716.71,201225.2,160516.93,976596.92,2125072.8,3101669.72,2022-02-21,Paid,Form 941 + 940
TAX-000002,Q1 2022,2022,1,7392266.72,1584069.38,458320.54,107187.87,458320.54,107187.87,16632.6,44353.6,199591.2,211911.33,1021364.53,2166210.38,3187574.91,2022-05-17,Paid,Form 941
TAX-000003,Q2 2022,2022,2,7613799.59,1511396.31,472055.57,110400.09,472055.57,110400.09,17131.05,45682.8,205572.59,165137.01,998848.07,2110983.03,3109831.1,2022-08-21,Paid,Form 941
TAX-000004,Q3 2022,2022,3,7726048.97,1448627.83,479015.04,112027.71,479015.04,112027.71,17383.61,46356.29,208603.32,269079.44,1115081.8,2057054.19,3172135.99,2022-11-16,Paid,Form 941
TAX-000005,Q4 2022,2022,4,7590946.98,1417204.56,470638.71,110068.73,470638.71,110068.73,17079.63,45545.68,204955.57,221115.52,1052324.21,2014991.64,3067315.85,2023-02-18,Paid,Form 941 + 940
TAX-000006,Q1 2023,2023,1,7857535.6,1543470.99,487167.21,113934.27,487167.21,113934.27,17679.46,47145.21,212153.46,253834.45,1114234.6,2162251.92,3276486.52,2023-05-14,Paid,Form 941
TAX-000007,Q2 2023,2023,2,7569288.29,1418327.66,469295.87,109754.68,469295.87,109754.68,17030.9,45415.73,204370.78,241168.85,1070005.92,2014409.12,3084415.03,2023-08-13,Paid,Form 941
TAX-000008,Q3 2023,2023,3,7855348.31,1601897.01,487031.6,113902.55,487031.6,113902.55,17674.53,47132.09,212094.4,170600.39,1030761.03,2220505.69,3251266.72,2023-11-17,Paid,Form 941
TAX-000009,Q4 2023,2023,4,7406544.6,1489753.35,459205.77,107394.9,459205.77,107394.9,16664.73,44439.27,199976.7,203009.53,1014026.16,2073018.73,3087044.9,2024-02-08,Paid,Form 941 + 940
TAX-000010,Q1 2024,2024,1,7538470.74,1554506.13,467385.19,109307.83,467385.19,109307.83,16961.56,45230.82,203538.71,258455.69,1083918.24,2148160.7,3232078.93,2024-05-05,Paid,Form 941
TAX-000011,Q2 2024,2024,2,7943063.37,1634657.53,492469.93,115174.42,492469.93,115174.42,17871.89,47658.38,214462.71,298607.68,1168373.12,2260173.77,3428546.89,2024-08-04,Paid,Form 941
TAX-000012,Q3 2024,2024,3,7583511.13,1481515.86,470177.69,109960.91,470177.69,109960.91,17062.9,45501.07,204754.8,217158.16,1047552.63,2078717.36,3126269.99,2024-11-05,Paid,Form 941
TAX-000013,Q4 2024,2024,4,7305489.88,1530029.32,452940.37,105929.6,452940.37,105929.6,16437.35,43832.94,197248.23,250850.38,1050801.52,2105336.65,3156138.17,2025-01-31,Paid,Form 941 + 940
TAX-000014,Q1 2025,2025,1,7285538.41,1563718.93,451703.38,105640.31,451703.38,105640.31,16392.46,43713.23,196709.54,290542.73,1088309.18,2137455.08,3225764.26,2025-05-02,Paid,Form 941
TAX-000015,Q2 2025,2025,2,7320504.2,1449768.3,453871.26,106147.31,453871.26,106147.31,16471.13,43923.03,197653.61,148440.12,950035.33,2026258.0,2976293.34,2025-08-02,Paid,Form 941
TAX-000016,Q3 2025,2025,3,7571582.32,1516233.07,469438.1,109787.94,469438.1,109787.94,17036.06,45429.49,204432.72,176275.81,1005364.07,2112495.18,3117859.25,2025-10-28,Pending,Form 941
