expense_id,month,department,category,budget_amount,actual_amount,variance,variance_pct,status,notes
EXP-000001,2023-11,Executive Leadership,Salaries & Wages,121749.04,137820.51,16071.46,13.2,Requires Review,Variance exceeds threshold
EXP-000002,2023-11,Executive Leadership,Benefits,31645.61,27546.12,-4099.49,-12.95,Approved,Variance exceeds threshold
EXP-000003,2023-11,Executive Leadership,Office Rent,3977.79,3627.18,-350.61,-8.81,Approved,
EXP-000004,2023-11,Executive Leadership,Utilities,10448.32,11642.47,1194.15,11.43,Requires Review,Variance exceeds threshold
EXP-000005,2023-11,Executive Leadership,Marketing & Advertising,3397.7,3541.99,144.29,4.25,Approved,
EXP-000006,2023-11,Executive Leadership,Travel & Entertainment,13481.77,12918.86,-562.9,-4.18,Approved,
EXP-000007,2023-11,Executive Leadership,Software & Licenses,6239.55,7066.29,826.74,13.25,Requires Review,Variance exceeds threshold
EXP-000008,2023-11,Executive Leadership,Equipment & Maintenance,9756.56,10549.4,792.83,8.13,Approved,
EXP-000009,2023-11,Executive Leadership,Professional Services,8908.47,8837.06,-71.41,-0.8,Approved,
EXP-000010,2023-11,Executive Leadership,Insurance,10402.42,10321.28,-81.14,-0.78,Approved,
EXP-000011,2023-11,Executive Leadership,Supplies,9871.62,9320.12,-551.49,-5.59,Approved,
EXP-000012,2023-11,Executive Leadership,Shipping & Freight,9752.36,9093.17,-659.19,-6.76,Approved,
EXP-000013,2023-11,Executive Leadership,Telecommunications,7505.2,8276.35,771.16,10.27,Requires Review,Variance exceeds threshold
EXP-000014,2023-11,Executive Leadership,Training,3426.51,3815.03,388.53,11.34,Requires Review,Variance exceeds threshold
EXP-000015,2023-11,Executive Leadership,R&D Materials,4081.75,4357.35,275.61,6.75,Approved,
EXP-000016,2023-11,Executive Leadership,Facility Maintenance,7497.86,6944.07,-553.8,-7.39,Approved,
EXP-000017,2023-11,Executive Leadership,Depreciation,9240.56,8186.51,-1054.05,-11.41,Approved,Variance exceeds threshold
EXP-000018,2023-11,Human Resources,Salaries & Wages,56045.32,53296.26,-2749.06,-4.91,Approved,
EXP-000019,2023-11,Human Resources,Benefits,13202.89,14279.18,1076.29,8.15,Approved,
EXP-000020,2023-11,Human Resources,Office Rent,4500.36,4023.82,-476.54,-10.59,Approved,Variance exceeds threshold
EXP-000021,2023-11,Human Resources,Utilities,2227.47,2226.43,-1.03,-0.05,Approved,
EXP-000022,2023-11,Human Resources,Marketing & Advertising,1418.85,1347.77,-71.08,-5.01,Approved,
EXP-000023,2023-11,Human Resources,Travel & Entertainment,4324.13,4327.51,3.38,0.08,Approved,
EXP-000024,2023-11,Human Resources,Software & Licenses,1824.59,1739.49,-85.1,-4.66,Approved,
EXP-000025,2023-11,Human Resources,Equipment & Maintenance,4017.72,3969.42,-48.3,-1.2,Approved,
