order_item_id,order_id,product_sku,product_name,quantity,unit_price,line_total,discount_applied
ITEM100000,ORD100000,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100001,ORD100000,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100002,ORD100000,RBX-COM-1013,High-Precision Gripper,5,2687,13435,0
ITEM100003,ORD100000,RBX-SOF-1018,Fleet Management Platform,2,1872,3744,0
ITEM100004,ORD100000,RBX-MOB-1010,PalletMover Robot,1,28747,28747,0
ITEM100005,ORD100000,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100006,ORD100001,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100007,ORD100001,RBX-SOF-1020,Predictive Maintenance AI,2,734,1468,0
ITEM100008,ORD100002,RBX-SOF-1018,Fleet Management Platform,1,1872,1872,0
ITEM100009,ORD100002,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100010,ORD100002,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100011,ORD100002,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100012,ORD100003,RBX-SOF-1020,Predictive Maintenance AI,3,734,2202,0
ITEM100013,ORD100003,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100014,ORD100004,RBX-COM-1016,Safety Scanner System,1,2494,2494,0
ITEM100015,ORD100004,RBX-SOF-1018,Fleet Management Platform,4,1872,7488,0
ITEM100016,ORD100004,RBX-SOF-1020,Predictive Maintenance AI,3,734,2202,0
ITEM100017,ORD100005,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100018,ORD100005,RBX-SOF-1020,Predictive Maintenance AI,4,734,2936,0
ITEM100019,ORD100005,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100020,ORD100005,RBX-SOF-1019,Simulation & Programming Tool,1,1719,1719,0
ITEM100021,ORD100005,RBX-COM-1012,6-Axis Force Sensor,3,4577,13731,0
ITEM100022,ORD100005,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100023,ORD100005,RBX-COM-1016,Safety Scanner System,5,2494,12470,0
ITEM100024,ORD100006,RBX-COM-1016,Safety Scanner System,5,2494,12470,0
ITEM100025,ORD100006,RBX-COM-1015,End-Effector Kit,2,3144,6288,0
ITEM100026,ORD100006,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100027,ORD100007,RBX-MOB-1010,PalletMover Robot,1,28747,28747,0
ITEM100028,ORD100007,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100029,ORD100007,RBX-COM-1016,Safety Scanner System,4,2494,9976,0
ITEM100030,ORD100007,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100031,ORD100007,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100032,ORD100007,RBX-SOF-1017,RobotOS Control Suite,5,1851,9255,0
ITEM100033,ORD100007,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100034,ORD100007,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100035,ORD100008,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100036,ORD100009,RBX-COM-1012,6-Axis Force Sensor,4,4577,18308,0
ITEM100037,ORD100009,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100038,ORD100009,RBX-COM-1015,End-Effector Kit,1,3144,3144,0
ITEM100039,ORD100010,RBX-COM-1012,6-Axis Force Sensor,1,4577,4577,0
ITEM100040,ORD100010,RBX-COM-1013,High-Precision Gripper,1,2687,2687,0
ITEM100041,ORD100010,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100042,ORD100010,RBX-IND-1001,HeavyDuty Articulated Robot,1,48154,48154,0
ITEM100043,ORD100010,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100044,ORD100010,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100045,ORD100010,RBX-COM-1014,Vision System Pro,1,2111,2111,0
ITEM100046,ORD100011,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100047,ORD100011,RBX-SOF-1020,Predictive Maintenance AI,3,734,2202,0
ITEM100048,ORD100011,RBX-COM-1012,6-Axis Force Sensor,5,4577,22885,0
ITEM100049,ORD100011,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100050,ORD100011,RBX-COM-1014,Vision System Pro,5,2111,10555,0
ITEM100051,ORD100012,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100052,ORD100012,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100053,ORD100012,RBX-COM-1016,Safety Scanner System,5,2494,12470,0
ITEM100054,ORD100012,RBX-IND-1001,HeavyDuty Articulated Robot,1,48154,48154,0
ITEM100055,ORD100012,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100056,ORD100013,RBX-MOB-1010,PalletMover Robot,1,28747,28747,0
ITEM100057,ORD100013,RBX-COM-1012,6-Axis Force Sensor,1,4577,4577,0
ITEM100058,ORD100013,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100059,ORD100014,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100060,ORD100014,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100061,ORD100014,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100062,ORD100014,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100063,ORD100014,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100064,ORD100015,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100065,ORD100015,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100066,ORD100015,RBX-COM-1015,End-Effector Kit,1,3144,3144,0
ITEM100067,ORD100015,RBX-SOF-1018,Fleet Management Platform,3,1872,5616,0
ITEM100068,ORD100015,RBX-SOF-1019,Simulation & Programming Tool,4,1719,6876,0
ITEM100069,ORD100015,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100070,ORD100016,RBX-COM-1014,Vision System Pro,5,2111,10555,0
ITEM100071,ORD100016,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100072,ORD100016,RBX-COM-1015,End-Effector Kit,4,3144,12576,0
ITEM100073,ORD100016,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100074,ORD100016,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100075,ORD100016,RBX-COM-1012,6-Axis Force Sensor,3,4577,13731,0
ITEM100076,ORD100017,RBX-COM-1014,Vision System Pro,5,2111,10555,0
ITEM100077,ORD100017,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100078,ORD100017,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100079,ORD100017,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100080,ORD100017,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100081,ORD100018,RBX-COM-1015,End-Effector Kit,2,3144,6288,0
ITEM100082,ORD100018,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100083,ORD100018,RBX-MOB-1010,PalletMover Robot,1,28747,28747,0
ITEM100084,ORD100018,RBX-SOF-1017,RobotOS Control Suite,3,1851,5553,0
ITEM100085,ORD100019,RBX-COM-1015,End-Effector Kit,3,3144,9432,0
ITEM100086,ORD100019,RBX-SOF-1020,Predictive Maintenance AI,2,734,1468,0
ITEM100087,ORD100020,RBX-SOF-1020,Predictive Maintenance AI,4,734,2936,0
ITEM100088,ORD100020,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100089,ORD100020,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100090,ORD100021,RBX-COM-1016,Safety Scanner System,5,2494,12470,0
ITEM100091,ORD100021,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100092,ORD100021,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100093,ORD100021,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100094,ORD100021,RBX-IND-1001,HeavyDuty Articulated Robot,1,48154,48154,0
ITEM100095,ORD100021,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100096,ORD100021,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100097,ORD100021,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100098,ORD100022,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100099,ORD100023,RBX-COM-1012,6-Axis Force Sensor,1,4577,4577,0
ITEM100100,ORD100023,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100101,ORD100024,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100102,ORD100024,RBX-SOF-1019,Simulation & Programming Tool,3,1719,5157,0
ITEM100103,ORD100024,RBX-COM-1012,6-Axis Force Sensor,2,4577,9154,0
ITEM100104,ORD100024,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100105,ORD100024,RBX-SOF-1017,RobotOS Control Suite,2,1851,3702,0
ITEM100106,ORD100024,RBX-COM-1013,High-Precision Gripper,5,2687,13435,0
ITEM100107,ORD100025,RBX-SOF-1020,Predictive Maintenance AI,5,734,3670,0
ITEM100108,ORD100025,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100109,ORD100025,RBX-SOF-1019,Simulation & Programming Tool,3,1719,5157,0
ITEM100110,ORD100026,RBX-MOB-1010,PalletMover Robot,1,28747,28747,0
ITEM100111,ORD100026,RBX-COM-1012,6-Axis Force Sensor,2,4577,9154,0
ITEM100112,ORD100027,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100113,ORD100027,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100114,ORD100028,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100115,ORD100028,RBX-COM-1016,Safety Scanner System,1,2494,2494,0
ITEM100116,ORD100028,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100117,ORD100029,RBX-MOB-1010,PalletMover Robot,1,28747,28747,0
ITEM100118,ORD100029,RBX-SOF-1019,Simulation & Programming Tool,5,1719,8595,0
ITEM100119,ORD100030,RBX-COM-1012,6-Axis Force Sensor,2,4577,9154,0
ITEM100120,ORD100030,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100121,ORD100031,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100122,ORD100031,RBX-MOB-1010,PalletMover Robot,1,28747,28747,0
ITEM100123,ORD100031,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100124,ORD100031,RBX-SOF-1017,RobotOS Control Suite,1,1851,1851,0
ITEM100125,ORD100031,RBX-COM-1015,End-Effector Kit,2,3144,6288,0
ITEM100126,ORD100031,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100127,ORD100032,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100128,ORD100032,RBX-COM-1015,End-Effector Kit,5,3144,15720,0
ITEM100129,ORD100033,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100130,ORD100033,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100131,ORD100034,RBX-SOF-1018,Fleet Management Platform,2,1872,3744,0
ITEM100132,ORD100034,RBX-SOF-1017,RobotOS Control Suite,2,1851,3702,0
ITEM100133,ORD100034,RBX-SOF-1019,Simulation & Programming Tool,5,1719,8595,0
ITEM100134,ORD100034,RBX-COM-1013,High-Precision Gripper,3,2687,8061,0
ITEM100135,ORD100034,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100136,ORD100034,RBX-COM-1012,6-Axis Force Sensor,5,4577,22885,0
ITEM100137,ORD100034,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100138,ORD100035,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100139,ORD100035,RBX-COL-1005,CoBot Precision 10kg,1,25173,25173,0
ITEM100140,ORD100035,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100141,ORD100035,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100142,ORD100035,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100143,ORD100035,RBX-COL-1007,CoBot Dual-Arm System,1,23932,23932,0
ITEM100144,ORD100036,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
ITEM100145,ORD100036,RBX-MOB-1009,SmartCart AMR-1000,1,18747,18747,0
ITEM100146,ORD100036,RBX-COM-1015,End-Effector Kit,2,3144,6288,0
ITEM100147,ORD100036,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100148,ORD100036,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100149,ORD100036,RBX-COM-1014,Vision System Pro,2,2111,4222,0
ITEM100150,ORD100036,RBX-MOB-1010,PalletMover Robot,1,28747,28747,0
ITEM100151,ORD100037,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100152,ORD100037,RBX-COM-1014,Vision System Pro,5,2111,10555,0
ITEM100153,ORD100038,RBX-SOF-1019,Simulation & Programming Tool,3,1719,5157,0
ITEM100154,ORD100038,RBX-SOF-1018,Fleet Management Platform,2,1872,3744,0
ITEM100155,ORD100038,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100156,ORD100038,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100157,ORD100038,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100158,ORD100038,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100159,ORD100039,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100160,ORD100039,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100161,ORD100040,RBX-MOB-1011,Inspection Rover,1,23455,23455,0
ITEM100162,ORD100040,RBX-COM-1012,6-Axis Force Sensor,5,4577,22885,0
ITEM100163,ORD100040,RBX-COM-1013,High-Precision Gripper,4,2687,10748,0
ITEM100164,ORD100040,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100165,ORD100040,RBX-COM-1015,End-Effector Kit,1,3144,3144,0
ITEM100166,ORD100040,RBX-COL-1004,CoBot Assistant 5kg,1,32449,32449,0
ITEM100167,ORD100041,RBX-COM-1014,Vision System Pro,3,2111,6333,0
ITEM100168,ORD100041,RBX-SOF-1019,Simulation & Programming Tool,5,1719,8595,0
ITEM100169,ORD100041,RBX-MOB-1008,AutoNav AGV-500,1,16922,16922,0
ITEM100170,ORD100041,RBX-COL-1006,CoBot Mobile Platform,1,20074,20074,0
ITEM100171,ORD100042,RBX-COM-1015,End-Effector Kit,3,3144,9432,0
ITEM100172,ORD100042,RBX-IND-1003,Welding Robot Pro,1,29253,29253,0
ITEM100173,ORD100042,RBX-MOB-1010,PalletMover Robot,1,28747,28747,0
ITEM100174,ORD100042,RBX-IND-1000,PrecisionArm 6-Axis,1,37787,37787,0
ITEM100175,ORD100043,RBX-SOF-1018,Fleet Management Platform,5,1872,9360,0
ITEM100176,ORD100043,RBX-IND-1002,HighSpeed Assembly Robot,1,42622,42622,0
