attrition_id,employee_id,department,job_level,hire_date,termination_date,tenure_months,termination_type,termination_reason,regrettable,exit_interview_completed,eligible_for_rehire,notice_period_days,quarter
ATR-00001,EMP5382,Customer Service,Manager,2020-03-04,2020-08-04,5.1,Voluntary,Voluntary - Career Change,No,Yes,Yes,30,Q3 2020
ATR-00002,EMP6214,Legal & Compliance,Senior,2024-06-17,2025-08-07,13.9,Voluntary,Voluntary - Relocation,Yes,Yes,Yes,14,Q3 2025
ATR-00003,EMP9767,Customer Service,Mid,2024-12-21,2025-05-31,5.4,Voluntary,Voluntary - Personal Reasons,No,Yes,Yes,30,Q2 2025
ATR-00004,EMP9921,Executive Leadership,Director,2023-04-11,2023-08-29,4.7,Voluntary,Voluntary - Better Opportunity,No,No,Yes,0,Q3 2023
ATR-00005,EMP7608,Sales & Marketing,Executive,2020-01-24,2022-05-26,28.4,Involuntary,End of Contract,No,No,Yes,0,Q2 2022
ATR-00006,EMP8977,Human Resources,Senior,2020-02-13,2023-02-17,36.7,Involuntary,Involuntary - Position Eliminated,No,No,No,0,Q1 2023
ATR-00007,EMP2365,Manufacturing,Entry,2024-05-26,2025-09-23,16.2,Involuntary,End of Contract,No,No,Yes,0,Q3 2025
ATR-00008,EMP8727,Executive Leadership,Director,2020-07-30,2024-03-21,44.3,Involuntary,Involuntary - Position Eliminated,No,No,No,0,Q1 2024
ATR-00009,EMP8923,Legal & Compliance,Lead,2022-08-07,2025-08-24,37.1,Voluntary,Voluntary - Career Change,Yes,Yes,Yes,14,Q3 2025
ATR-00010,EMP7881,Executive Leadership,Mid,2022-01-15,2025-06-02,41.1,Voluntary,Voluntary - Retirement,Yes,Yes,Yes,14,Q2 2025
ATR-00011,EMP9945,Product Development,Mid,2024-03-25,2025-07-16,15.9,Voluntary,Voluntary - Personal Reasons,Yes,Yes,Yes,14,Q3 2025
ATR-00012,EMP3655,Quality Assurance,Entry,2024-02-27,2025-06-27,16.2,Involuntary,End of Contract,No,No,Yes,0,Q2 2025
