month,department,headcount,fte,contractors,month_change,month_change_pct
2022-11,Executive Leadership,6,5.77,0,1,20.0
2022-11,Human Resources,8,7.73,0,0,0.0
2022-11,Sales & Marketing,34,32.35,0,-1,-2.86
2022-11,Product Development,56,53.57,0,1,1.82
2022-11,Manufacturing,45,43.75,0,0,0.0
2022-11,Quality Assurance,19,18.74,0,1,5.56
2022-11,Customer Service,26,25.72,0,1,4.0
2022-11,Finance,11,10.87,0,-1,-8.33
2022-11,IT & Systems,15,14.53,0,0,0.0
2022-11,Legal & Compliance,17,16.29,0,2,13.33
2022-12,Executive Leadership,6,5.92,0,0,0.0
2022-12,Human Resources,9,8.95,0,1,12.5
2022-12,Sales & Marketing,34,33.63,0,0,0.0
2022-12,Product Development,56,54.75,0,0,0.0
2022-12,Manufacturing,44,42.22,0,-1,-2.22
2022-12,Quality Assurance,19,18.45,0,0,0.0
2022-12,Customer Service,25,24.92,0,-1,-3.85
2022-12,Finance,13,12.88,0,2,18.18
2022-12,IT & Systems,15,14.8,0,0,0.0
2022-12,Legal & Compliance,17,16.56,0,0,0.0
2023-01,Executive Leadership,6,5.9,0,0,0.0
2023-01,Human Resources,9,8.6,0,0,0.0
2023-01,Sales & Marketing,34,32.74,0,0,0.0
2023-01,Product Development,56,55.41,0,0,0.0
2023-01,Manufacturing,44,43.45,0,0,0.0
2023-01,Quality Assurance,21,21.0,0,2,10.53
2023-01,Customer Service,26,25.14,0,1,4.0
2023-01,Finance,15,14.91,0,2,15.38
2023-01,IT & Systems,14,13.72,0,-1,-6.67
2023-01,Legal & Compliance,17,16.4,0,0,0.0
2023-02,Executive Leadership,6,5.74,0,0,0.0
2023-02,Human Resources,9,8.6,0,0,0.0
2023-02,Sales & Marketing,36,34.21,0,2,5.88
2023-02,Product Development,55,54.09,0,-1,-1.79
2023-02,Manufacturing,44,43.68,0,0,0.0
2023-02,Quality Assurance,21,20.67,0,0,0.0
2023-02,Customer Service,25,24.31,0,-1,-3.85
2023-02,Finance,15,14.69,0,0,0.0
2023-02,IT & Systems,13,12.84,0,-1,-7.14
2023-02,Legal & Compliance,17,16.68,0,0,0.0
2023-03,Executive Leadership,6,5.9,0,0,0.0
2023-03,Human Resources,9,8.65,0,0,0.0
2023-03,Sales & Marketing,36,34.51,0,0,0.0
2023-03,Product Development,57,54.97,0,2,3.64
2023-03,Manufacturing,44,43.85,0,0,0.0
2023-03,Quality Assurance,21,20.32,0,0,0.0
2023-03,Customer Service,25,24.58,0,0,0.0
2023-03,Finance,15,14.59,0,0,0.0
2023-03,IT & Systems,13,12.73,0,0,0.0
2023-03,Legal & Compliance,17,16.38,0,0,0.0
2023-04,Executive Leadership,6,5.84,0,0,0.0
2023-04,Human Resources,9,8.55,0,0,0.0
2023-04,Sales & Marketing,35,34.5,0,-1,-2.78
2023-04,Product Development,57,56.49,0,0,0.0
2023-04,Manufacturing,44,41.95,0,0,0.0
2023-04,Quality Assurance,22,21.91,0,1,4.76
2023-04,Customer Service,24,23.81,0,-1,-4.0
2023-04,Finance,15,14.55,0,0,0.0
2023-04,IT & Systems,13,12.52,0,0,0.0
2023-04,Legal & Compliance,17,16.96,0,0,0.0
2023-05,Executive Leadership,6,5.92,0,0,0.0
2023-05,Human Resources,9,8.95,0,0,0.0
2023-05,Sales & Marketing,35,33.4,0,0,0.0
2023-05,Product Development,57,55.69,0,0,0.0
2023-05,Manufacturing,43,41.36,0,-1,-2.27
2023-05,Quality Assurance,22,21.79,0,0,0.0
2023-05,Customer Service,24,22.96,0,0,0.0
2023-05,Finance,16,15.6,0,1,6.67
2023-05,IT & Systems,14,13.8,0,1,7.69
2023-05,Legal & Compliance,17,16.74,0,0,0.0
2023-06,Executive Leadership,6,5.81,0,0,0.0
2023-06,Human Resources,11,10.6,0,2,22.22
2023-06,Sales & Marketing,35,34.06,0,0,0.0
2023-06,Product Development,57,55.86,0,0,0.0
2023-06,Manufacturing,43,42.28,0,0,0.0
2023-06,Quality Assurance,22,21.09,0,0,0.0
2023-06,Customer Service,24,22.97,0,0,0.0
