case_id,case_type,filed_date,closed_date,status,plaintiff,description,external_counsel,legal_costs_to_date,settlement_amount,potential_exposure,insurance_coverage,priority,internal_contact
LIT-0001,Patent Infringement,2023-07-26,2023-10-16,Settled,Robotix,Patent Infringement matter filed on 2023-07-26,Davis Wright Tremaine,57209.45,199888.74,,Yes,High,Sarah Chen
LIT-0002,Patent Infringement,2023-12-06,2024-08-09,Settled,Third Party,Patent Infringement matter filed on 2023-12-06,K&L Gates,41790.86,67984.09,,Yes,Medium,Amanda Foster
LIT-0003,Regulatory Compliance,2024-12-27,2025-05-10,Closed,Third Party,Regulatory Compliance matter filed on 2024-12-27,Perkins Coie,186608.95,,,No,High,Sarah Chen
LIT-0004,Customer Complaint,2024-07-07,,Active,Third Party,Customer Complaint matter filed on 2024-07-07,Perkins Coie,184649.27,,50617.18,Partial,High,Michael Rodriguez
LIT-0005,Customer Complaint,2023-10-28,,Active,Third Party,Customer Complaint matter filed on 2023-10-28,Morrison & Foerster LLP,905234.08,,1623224.56,No,Medium,Jennifer Park
LIT-0006,Patent Infringement,2024-10-19,,Active,Robotix,Patent Infringement matter filed on 2024-10-19,Perkins Coie,287523.79,,1110937.7,Yes,Medium,Amanda Foster
LIT-0007,Product Liability,2025-07-13,2025-12-24,Closed,Robotix,"Johnson v. Robotix Industries, Inc.
Case No. 25-CV-4872

Plaintiff Sarah Johnson filed suit against Robotix Industries after sustaining severe injuries when a Robotix SR-200 industrial robotic arm malfunctioned at Maxwell Manufacturing facility. The ",Wilson Sonsini,145103.21,,,Yes,Medium,Michael Rodriguez
LIT-0008,Employment Dispute,2025-04-17,2026-02-20,Settled,Third Party,Employment Dispute matter filed on 2025-04-17,Wilson Sonsini,191153.35,361054.92,,No,Medium,Jennifer Park
LIT-0009,Customer Complaint,2024-08-08,,Active,Robotix,Customer Complaint matter filed on 2024-08-08,Wilson Sonsini,468025.84,,1052343.08,Yes,Low,Jennifer Park
LIT-0010,Employment Dispute,2024-03-29,2024-09-01,Settled,Third Party,Employment Dispute matter filed on 2024-03-29,Wilson Sonsini,107851.93,449681.19,,Partial,High,Sarah Chen
LIT-0011,Customer Complaint,2024-08-04,2024-11-13,Dismissed,Third Party,Customer Complaint matter filed on 2024-08-04,Morrison & Foerster LLP,45946.41,,,Yes,Low,Jennifer Park
LIT-0012,Vendor Dispute,2023-05-17,2023-09-22,Settled,Robotix,Vendor Dispute matter filed on 2023-05-17,Wilson Sonsini,87267.95,106676.74,,Yes,Medium,Amanda Foster
