bug_id,product_name,title,description,category,priority,severity,status,created_date,resolved_date,days_to_fix,assigned_to,reported_by,reproducible,version_affected,fix_version
BUG-000001,Predictive Maintenance AI,Feature Malfunction - Problem #1,"Bug Report: Inconsistent Vibration Threshold Alerts

Description:
The Predictive Maintenance AI system is generating false positive alerts for equipment vibration thresholds on conveyor belt system CB-231. The AI model appears to be misinterpreting n",Feature Malfunction,Medium,Critical,In Progress,2023-12-28,,,Rachel Green,Customer,Yes,3.6.8,
BUG-000002,Fleet Management Platform,Performance - Error #2,Performance issue in Fleet Management Platform,Performance,Medium,Critical,In Progress,2024-02-24,,,Emily Thompson,Customer,Yes,4.3.17,
BUG-000003,Simulation Tool,Performance - Issue #3,Performance issue in Predictive Maintenance AI,Performance,Low,Trivial,Open,2024-12-02,,,Nicole Sanders,Support,Sometimes,2.8.1,
BUG-000004,Fleet Management Platform,Data Integrity - Problem #4,"Bug Report: Inconsistent Sensor Data Persistence After Emergency Stop

Description:
When executing an emergency stop (E-stop) during a robotic arm simulation, sensor data from the force/torque sensors is not properly preserved in the log files. After",Data Integrity,Medium,Trivial,Fixed,2025-03-24,2025-05-05,42,Rachel Green,Support,Yes,1.2.5,3.13.9
BUG-000005,Fleet Management Platform,Security - Defect #5,Security issue in Vision System Pro,Security,Low,Major,Fixed,2025-10-13,2025-11-08,26,Emily Thompson,Engineering,Yes,2.5.3,5.15.15
BUG-000006,Vision System Pro,Crash/Stability - Error #6,Crash/Stability issue in RobotOS Control Suite,Crash/Stability,Low,Critical,Fixed,2025-06-16,2025-06-25,9,Nicole Sanders,Engineering,Yes,4.1.2,1.15.2
BUG-000007,Fleet Management Platform,Data Integrity - Error #7,Data Integrity issue in Fleet Management Platform,Data Integrity,Low,Major,Wont Fix,2024-10-07,,,Emily Thompson,Customer,Yes,3.6.11,
BUG-000008,Simulation Tool,UI/UX Issue - Problem #8,UI/UX Issue issue in Predictive Maintenance AI,UI/UX Issue,Medium,Major,In Progress,2025-08-24,,,Nicole Sanders,Engineering,Yes,1.5.15,
BUG-000009,Simulation Tool,Integration - Issue #9,Integration issue in RobotOS Control Suite,Integration,Medium,Trivial,In Progress,2024-09-15,,,Nicole Sanders,Customer,Yes,4.13.1,
BUG-000010,Fleet Management Platform,Integration - Defect #10,Integration issue in Simulation Tool,Integration,Medium,Major,Fixed,2023-12-22,2024-02-01,41,Nicole Sanders,Engineering,Sometimes,3.14.10,4.11.3
