sku,product_name,category,description,msrp,cost,margin,margin_pct,weight_kg,payload_capacity,reach_mm,color_options,configurations_available,inventory_on_hand,inventory_location,reorder_point,supplier,lead_time_days,status,release_date,warranty_years
RBX-IND-1000,PrecisionArm 6-Axis,Industrial Robots,"The PrecisionArm 6-Axis robot delivers best-in-class repeatability of ±0.02mm and a maximum payload of 16kg, making it ideal for high-precision assembly, automated inspection, and complex material handling tasks. With an innovative torque-sensing system across all joints and advanced collision detection, this collaborative robot seamlessly integrates into existing production lines while maintaining ISO/TS 15066 safety standards. Its intuitive teach pendant interface and pre-configured motion planning algorithms reduce programming time by up to 60%, enabling rapid deployment across automotive, electronics, and precision manufacturing applications.",37787,22672,15115,40.0,33.16,71 kg,1286 mm,Industrial Gray/Safety Yellow,Standard/Heavy Duty,14,Minneapolis,10,Servo Systems Inc,87,Active,2021-11-30,2
RBX-IND-1001,HeavyDuty Articulated Robot,Industrial Robots,"The HeavyDuty Articulated Robot delivers best-in-class payload capacity of up to 350kg with an exceptional reach of 3.2m, while maintaining positioning repeatability of ±0.05mm across its entire work envelope. Featuring advanced servo motors with integrated force-torque sensing and our proprietary SafeMove2 technology, this 6-axis powerhouse seamlessly handles demanding applications from heavy automotive assembly to large-scale material handling, all while enabling safe human-robot collaboration when needed. The robot's IP67-rated construction and modular joint design ensure reliable performance in harsh industrial environments while minimizing maintenance downtime.",48154,28892,19262,40.0,48.68,8 kg,673 mm,Industrial Gray/Safety Yellow,Standard Only,31,Portland,10,Servo Systems Inc,35,Active,2020-12-23,2
RBX-IND-1002,HighSpeed Assembly Robot,Industrial Robots,"The HighSpeed Assembly Robot combines precision 6-axis kinematics with advanced machine vision to achieve industry-leading cycle times of up to 120 picks per minute while maintaining ±0.02mm repeatability. Purpose-built for electronics and small parts assembly, this collaborative robot features an integrated force-torque sensor, tool-free gripper changes, and our proprietary SafeZone monitoring system that allows seamless human-robot interaction without compromising on speed. The compact 850mm reach and 7kg payload capacity make it ideal for high-mix production environments where rapid changeovers and consistent quality are essential.",42622,25573,17049,40.0,127.1,53 kg,1549 mm,Industrial Gray/Safety Yellow,Single/Dual Arm,15,Portland,10,Global Automation Components,87,Active,2023-12-12,2
RBX-IND-1003,Welding Robot Pro,Industrial Robots,"The Welding Robot Pro combines advanced 6-axis kinematics with AI-powered seam tracking to deliver precise, repeatable welds across multiple processes including MIG, TIG, and spot welding. Featuring a 210kg payload capacity, IP67-rated armor, and integrated collision detection, this collaborative robot maintains exceptional +/-0.03mm accuracy even in harsh manufacturing environments while its intuitive teach pendant interface reduces programming time by up to 60%. Perfect for automotive assembly, heavy equipment fabrication, and high-volume production lines requiring consistent, high-quality welds.",29253,17551,11702,40.0,89.19,10 kg,1145 mm,Industrial Gray/Safety Yellow,Standard/Extended Reach,36,Minneapolis,10,Vision Tech Ltd,42,Active,2024-12-02,2
RBX-COL-1004,CoBot Assistant 5kg,Collaborative Robots,"The CoBot Assistant 5kg is a state-of-the-art collaborative robot featuring advanced force-torque sensing and a intuitive teach pendant interface, enabling seamless human-robot interaction while maintaining ISO/TS 15066 safety compliance. With its 5kg payload capacity, ±0.02mm repeatability, and integrated vision system, this versatile cobot excels in precision assembly, quality inspection, and machine tending applications across electronics manufacturing and medical device production. The CoBot Assistant's quick setup programming and compact 850mm reach make it ideal for space-constrained production environments seeking to automate repetitive tasks while maintaining workforce flexibility.",32449,19469,12980,40.0,84.72,67 kg,649 mm,Industrial Gray/Safety Yellow,Standard/Heavy Duty,12,Portland,10,Global Automation Components,76,Active,2021-01-04,2
RBX-COL-1005,CoBot Precision 10kg,Collaborative Robots,"The CoBot Precision 10kg is a state-of-the-art collaborative robot featuring advanced force-torque sensing and a repeatability of ±0.02mm, enabling seamless human-robot interaction while maintaining exceptional accuracy for demanding applications. With its 10kg payload capacity and integrated safety systems including dynamic force monitoring, this 6-axis cobot excels in precision assembly, quality inspection, and machine tending tasks across electronics and automotive manufacturing. The system's intuitive teach pendant interface and pre-configured motion templates allow for rapid deployment, while its ISO/TS 15066-compliant design ensures safe operation alongside human workers without the need for safety fencing.",25173,15103,10070,40.0,34.19,86 kg,1010 mm,Industrial Gray/Safety Yellow,Standard Only,14,Minneapolis,10,Servo Systems Inc,40,Active,2024-10-18,2
RBX-COL-1006,CoBot Mobile Platform,Collaborative Robots,"The CoBot Mobile Platform is an advanced collaborative robotic system combining autonomous navigation with a 6-axis manipulator arm, enabling flexible material handling and precision tasks across dynamic manufacturing environments. Featuring industry-leading safety sensors, a payload capacity of 15kg, and seamless integration with existing automation systems through its open API architecture, this mobile cobot can be rapidly deployed for applications ranging from pick-and-place operations to machine tending. Its intuitive teach pendant programming and built-in collision avoidance make it ideal for manufacturers seeking to automate repetitive tasks while maintaining worker collaboration in shared workspaces.",20074,12044,8030,40.0,68.51,18 kg,1515 mm,Industrial Gray/Safety Yellow,Standard/Extended Reach,18,Portland,10,Robotix Manufacturing,70,Active,2023-01-11,2
RBX-COL-1007,CoBot Dual-Arm System,Collaborative Robots,"The CoBot Dual-Arm System combines advanced force-torque sensing with 16 degrees of freedom across two synchronized robotic arms, enabling human-like dexterity for complex assembly and material handling tasks. Each arm features a 5kg payload capacity, integrated safety monitoring, and intuitive teach-pendant programming, allowing seamless collaboration between humans and robots in applications ranging from electronics assembly to small-parts handling. The system's compact 850mm reach per arm and ±0.02mm repeatability make it ideal for precise bench-top operations, while its built-in vision system and AI-powered path planning ensure consistent performance in dynamic manufacturing environments.",23932,14359,9573,40.0,63.15,10 kg,1098 mm,Industrial Gray/Safety Yellow,Standard/Heavy Duty,49,Minneapolis,10,Robotix Manufacturing,38,Active,2021-03-08,2
RBX-MOB-1008,AutoNav AGV-500,Mobile Robots,"The AutoNav AGV-500 is an advanced autonomous guided vehicle featuring dynamic path planning with LiDAR-based SLAM navigation, capable of handling payloads up to 500kg while maintaining precise positioning accuracy of ±5mm. Built with Robotix's industry-leading safety systems, including 360° obstacle detection and ISO/EN safety certification, this versatile AGV seamlessly integrates with existing warehouse management systems and excels in manufacturing environments, automated material handling, and cross-docking applications. The AGV-500's modular design supports multiple attachment options and its extended 12-hour battery life with opportunity charging ensures maximum uptime for 24/7 operations.",16922,10153,6769,40.0,172.64,N/A,N/A,Industrial Gray/Safety Yellow,Standard/Heavy Duty,34,Minneapolis,10,Vision Tech Ltd,32,Active,2023-01-24,2
RBX-MOB-1009,SmartCart AMR-1000,Mobile Robots,"The SmartCart AMR-1000 is an advanced autonomous mobile robot featuring dynamic path planning with 360° LiDAR sensing and a robust 1,000kg payload capacity, making it ideal for automated material transport in manufacturing and warehouse environments. Its industry-leading battery management system delivers up to 12 hours of continuous operation, while the intuitive fleet management software enables seamless integration with existing workflows and real-time monitoring across multiple units. The AMR-1000's collaborative safety features, including ISO/TS 15066 compliance and dynamic speed adaptation, allow for flexible deployment alongside human workers without the need for fixed barriers or designated zones.",18747,11248,7499,40.0,93.99,N/A,N/A,Industrial Gray/Safety Yellow,Standard/Extended Reach,29,Portland,10,Global Automation Components,50,Active,2020-03-02,2
