month,product_name,monthly_active_users,daily_active_users_avg,weekly_active_users_avg,new_users,churned_users,retention_rate_pct,avg_sessions_per_user,avg_session_duration_minutes,feature_adoption_rate_pct,nps_score
2023-11,RobotOS Control Suite,5100,1332,3277,428,395,92.3,8.2,22.3,81.7,53
2023-12,RobotOS Control Suite,5660,1660,3312,696,497,91.2,19.4,31.5,56.0,55
2024-01,RobotOS Control Suite,5841,1939,3075,813,354,93.9,19.7,39.0,83.3,37
2024-01,RobotOS Control Suite,5609,1817,2814,474,231,95.9,10.3,24.1,76.2,49
2024-03,RobotOS Control Suite,6268,2283,3695,558,232,96.3,11.1,19.4,60.2,49
2024-03,RobotOS Control Suite,6302,2214,3408,801,298,95.3,12.8,19.6,82.1,70
2024-04,RobotOS Control Suite,6019,2207,3464,646,467,92.2,19.8,29.3,67.0,39
2024-05,RobotOS Control Suite,5817,2040,3907,769,286,95.1,19.4,41.0,59.1,59
2024-06,RobotOS Control Suite,5990,2085,4160,767,391,93.5,21.0,32.2,69.2,50
2024-07,RobotOS Control Suite,5933,1598,3313,663,224,96.2,8.5,42.7,73.3,42
2024-08,RobotOS Control Suite,6484,2484,3796,910,351,94.6,23.5,31.1,65.9,46
2024-09,RobotOS Control Suite,6192,1566,3391,635,516,91.7,22.5,33.4,60.3,67
2024-10,RobotOS Control Suite,6925,2658,3635,857,651,90.6,10.4,19.6,82.9,36
2024-11,RobotOS Control Suite,7844,2232,4239,795,507,93.5,16.4,31.4,70.9,43
2024-12,RobotOS Control Suite,8324,2449,5216,1107,403,95.2,8.1,39.5,82.4,49
2025-01,RobotOS Control Suite,8149,2499,4349,997,681,91.6,15.2,26.6,79.8,35
2025-02,RobotOS Control Suite,7771,2566,4166,1108,546,93.0,9.9,21.6,76.3,75
2025-03,RobotOS Control Suite,8762,3314,5088,1124,656,92.5,15.7,42.2,81.1,36
2025-04,RobotOS Control Suite,10069,3170,5422,1078,969,90.4,11.6,20.0,60.1,58
2025-05,RobotOS Control Suite,10532,3085,5274,912,1017,90.3,17.7,15.4,66.2,46
2025-06,RobotOS Control Suite,11750,4125,6193,1554,980,91.7,11.1,32.7,83.4,43
2025-07,RobotOS Control Suite,12895,3790,6848,1442,1064,91.7,21.7,24.5,72.9,73
2025-08,RobotOS Control Suite,12587,3655,6922,1463,481,96.2,21.7,23.8,73.7,52
2025-09,RobotOS Control Suite,14431,4168,10081,1646,1128,92.2,17.9,35.9,71.5,39
2023-11,Fleet Management Platform,2213,787,1150,223,89,96.0,10.1,34.1,80.3,37
2023-12,Fleet Management Platform,2323,686,1589,196,211,90.9,9.9,29.6,77.3,68
2024-01,Fleet Management Platform,2450,646,1681,256,202,91.8,18.0,21.1,63.5,69
2024-01,Fleet Management Platform,2335,695,1355,323,151,93.5,8.9,37.5,84.5,65
2024-03,Fleet Management Platform,2438,669,1338,277,100,95.9,24.3,36.6,64.5,60
2024-03,Fleet Management Platform,2553,733,1771,267,183,92.8,13.4,27.9,72.9,64
2024-04,Fleet Management Platform,2673,1015,1742,262,166,93.8,9.2,25.4,65.2,63
2024-05,Fleet Management Platform,2762,840,1532,352,230,91.7,23.9,17.4,69.5,74
2024-06,Fleet Management Platform,3084,1152,1999,391,96,96.9,9.3,16.2,66.2,70
2024-07,Fleet Management Platform,3406,1034,2140,480,107,96.9,9.9,22.4,62.5,70
2024-08,Fleet Management Platform,3709,1427,2208,407,326,91.2,23.6,31.8,58.5,67
2024-09,Fleet Management Platform,4204,1281,2274,600,240,94.3,19.0,15.7,64.0,73
2024-10,Fleet Management Platform,4280,1548,2167,360,320,92.5,11.0,40.7,78.0,43
2024-11,Fleet Management Platform,4780,1310,3270,595,453,90.5,18.4,27.0,58.0,38
2024-12,Fleet Management Platform,4582,1393,3172,660,444,90.3,14.2,37.3,67.6,67
2025-01,Fleet Management Platform,4924,1247,2798,588,367,92.5,14.5,37.6,62.0,69
2025-02,Fleet Management Platform,4947,1706,2607,472,150,97.0,15.6,35.9,70.9,71
2025-03,Fleet Management Platform,4880,1478,3134,568,173,96.5,11.7,16.1,66.2,73
2025-04,Fleet Management Platform,5059,1300,2824,422,245,95.2,12.6,27.2,73.5,57
2025-05,Fleet Management Platform,5238,1908,3089,773,297,94.3,12.0,39.9,81.7,43
2025-06,Fleet Management Platform,5108,1282,3366,735,474,90.7,19.2,37.6,57.8,59
2025-07,Fleet Management Platform,5431,2030,3542,706,225,95.9,14.1,32.1,59.7,45
2025-08,Fleet Management Platform,5409,1704,2961,561,198,96.3,24.4,34.8,69.9,52
2025-09,Fleet Management Platform,5940,1985,3450,830,338,94.3,21.6,21.4,56.3,66
2023-11,Predictive Maintenance AI,2415,742,1229,267,198,91.8,24.9,36.5,75.2,63
2023-12,Predictive Maintenance AI,2349,722,1251,274,222,90.5,12.8,38.8,62.4,56
2024-01,Predictive Maintenance AI,2242,774,1249,219,114,94.9,20.4,24.3,74.3,43
2024-01,Predictive Maintenance AI,2317,668,1505,302,179,92.3,16.6,15.7,62.9,68
2024-03,Predictive Maintenance AI,2544,804,1646,216,123,95.2,16.2,36.9,76.7,37
2024-03,Predictive Maintenance AI,2625,784,1406,249,101,96.2,18.5,18.3,55.2,51
2024-04,Predictive Maintenance AI,2657,764,1659,297,180,93.2,11.7,16.7,77.4,42
2024-05,Predictive Maintenance AI,2959,996,1762,424,207,93.0,14.5,16.3,77.0,36
2024-06,Predictive Maintenance AI,2824,989,1631,296,131,95.4,23.6,43.4,77.3,61
2024-07,Predictive Maintenance AI,3037,1023,2010,333,221,92.7,15.7,33.6,74.5,47
2024-08,Predictive Maintenance AI,3041,1043,1942,399,242,92.0,8.0,25.0,69.9,54
2024-09,Predictive Maintenance AI,3232,950,2059,417,215,93.3,10.4,16.6,74.5,69
2024-10,Predictive Maintenance AI,3644,1184,1960,307,223,93.9,12.9,33.6,67.4,70
2024-11,Predictive Maintenance AI,3874,1290,2604,411,236,93.9,9.5,30.1,77.3,58
2024-12,Predictive Maintenance AI,4044,1559,2393,587,125,96.9,15.4,19.4,62.7,49
2025-01,Predictive Maintenance AI,4359,1703,2295,520,364,91.6,10.3,29.0,56.4,43
2025-02,Predictive Maintenance AI,4490,1201,3128,368,385,91.4,23.8,36.6,62.3,47
2025-03,Predictive Maintenance AI,4309,1147,2679,634,421,90.2,8.3,34.0,69.5,41
2025-04,Predictive Maintenance AI,4382,1339,2802,566,135,96.9,23.4,23.1,75.7,54
2025-05,Predictive Maintenance AI,4222,1321,2559,365,320,92.4,19.7,28.5,72.9,68
2025-06,Predictive Maintenance AI,4253,1316,2740,469,417,90.2,9.7,17.2,55.3,57
2025-07,Predictive Maintenance AI,4447,1633,2628,541,423,90.5,17.6,17.5,61.7,55
2025-08,Predictive Maintenance AI,4552,1804,2532,414,414,90.9,18.3,44.6,72.1,50
2025-09,Predictive Maintenance AI,5102,1758,2808,764,176,96.6,13.0,29.6,56.5,61
