month,emails_sent,unique_opens,open_rate_pct,clicks,click_rate_pct,conversions,conversion_rate_pct,unsubscribes,bounce_rate_pct
2023-11,32675,6688,20.5,1297,4.0,93,0.28,112,2.8
2023-12,20813,5231,25.1,673,3.2,29,0.14,132,2.2
2024-01,20601,3963,19.2,925,4.5,38,0.18,196,2.8
2024-01,20920,5265,25.2,1187,5.7,60,0.29,99,1.5
2024-03,30049,8270,27.5,1939,6.5,89,0.3,166,3.0
2024-03,21868,5027,23.0,1090,5.0,70,0.32,148,1.1
2024-04,32884,6783,20.6,1511,4.6,74,0.23,158,2.5
2024-05,16152,4337,26.9,1007,6.2,53,0.33,135,2.8
2024-06,26381,5969,22.6,1040,3.9,67,0.25,91,2.0
2024-07,33045,6537,19.8,1246,3.8,76,0.23,81,2.7
2024-08,25482,6090,23.9,1206,4.7,38,0.15,196,2.5
2024-09,21076,4711,22.4,1117,5.3,47,0.22,66,1.3
2024-10,26252,5106,19.4,964,3.7,67,0.26,130,3.3
2024-11,16556,4493,27.1,966,5.8,39,0.24,177,3.4
2024-12,26182,5336,20.4,758,2.9,47,0.18,188,1.5
2025-01,25983,6407,24.7,1360,5.2,106,0.41,152,1.9
2025-02,15794,3195,20.2,783,5.0,59,0.37,100,2.0
2025-03,23675,6248,26.4,781,3.3,34,0.14,199,1.0
2025-04,30931,6866,22.2,1348,4.4,96,0.31,133,3.2
2025-05,27673,6581,23.8,900,3.3,51,0.18,155,2.2
2025-06,17132,4340,25.3,693,4.0,53,0.31,86,2.8
2025-07,31788,8364,26.3,1753,5.5,123,0.39,101,1.1
2025-08,28730,6925,24.1,1123,3.9,48,0.17,161,3.3
2025-09,28425,7289,25.6,1210,4.3,38,0.13,190,3.4
