opportunity_id,account_name,opportunity_name,stage,probability_pct,amount,weighted_amount,created_date,expected_close_date,actual_close_date,age_days,lead_source,owner,product_interest,competitor,next_step,notes
OPP-000001,Company 3130,Industrial Robot System - 893,Closed Lost,0,1576067.79,0.0,2025-08-11,2025-12-18,2025-12-18,72,Website,David Martinez,Control Software License,FANUC,,"Sales Opportunity Notes:
Met with VP of Operations Dave Miller and Engineering Lead Sarah Chen to discuss implementation of 12 industrial robot arms for their new production line. Initial technical as"
OPP-000002,Company 7578,Mobile Robot Platform - 287,Proposal,60,1017696.33,610617.8,2025-06-10,2025-10-26,,134,Referral,David Martinez,Industrial Robot System,ABB Robotics,Follow up meeting,Proposal stage opportunity
OPP-000003,Company 4619,Industrial Robot System - 407,Needs Analysis,40,1183602.53,473441.01,2025-04-03,2025-12-16,,202,Referral,Chris Patel,Mobile Robot Platform,ABB Robotics,Follow up meeting,"MEETING NOTES (3/15/24):
Met with Sarah Chen (CTO) and Mike Roberts (Head of Manufacturing) to discuss control software needs across their 3 facilities. Current pain points include incompatible system"
OPP-000004,Company 4928,Collaborative Robot - 842,Prospecting,10,280481.69,28048.17,2025-08-12,2025-10-28,,71,Website,Jessica Martinez,Collaborative Robot,KUKA,Follow up meeting,Prospecting stage opportunity
OPP-000005,Company 5725,Vision System - 324,Proposal,60,177980.24,106788.14,2025-06-13,2025-10-30,,131,Partner,Chris Patel,Mobile Robot Platform,KUKA,Follow up meeting,Proposal stage opportunity
OPP-000006,Company 2181,Vision System - 650,Needs Analysis,40,1034126.02,413650.41,2025-02-04,2025-11-03,,260,Partner,David Martinez,Mobile Robot Platform,None,Follow up meeting,Needs Analysis stage opportunity
OPP-000007,Company 8530,Control Software License - 439,Closed Won,100,1653880.38,1653880.38,2025-02-06,2025-06-22,2025-06-22,258,Website,Chris Patel,Vision System,ABB Robotics,,Closed Won stage opportunity
OPP-000008,Company 7134,Collaborative Robot - 591,Closed Lost,0,1233273.38,0.0,2024-12-02,2025-01-21,2025-01-21,324,Referral,Jessica Martinez,Control Software License,KUKA,,Closed Lost stage opportunity
OPP-000009,Company 6490,Collaborative Robot - 564,Closed Won,100,125754.23,125754.23,2025-02-17,2025-06-01,2025-06-01,247,Trade Show,Chris Patel,Industrial Robot System,ABB Robotics,,"Sales Notes:
Met with John Chen (CTO) and Sarah Martinez (Plant Manager) to finalize vision system implementation for their automotive parts inspection line. Customer's main pain points were 30% defec"
OPP-000010,Company 4973,Mobile Robot Platform - 313,Prospecting,10,651674.59,65167.46,2024-11-02,2025-10-22,,354,Trade Show,Jessica Martinez,Collaborative Robot,FANUC,Follow up meeting,Prospecting stage opportunity
OPP-000011,Company 4663,Mobile Robot Platform - 130,Closed Lost,0,1181664.52,0.0,2025-04-08,2025-08-13,2025-08-13,197,Trade Show,David Martinez,Industrial Robot System,Universal Robots,,Closed Lost stage opportunity
OPP-000012,Company 6066,Mobile Robot Platform - 889,Closed Won,100,781062.79,781062.79,2024-11-09,2025-01-14,2025-01-14,347,Partner,Jessica Martinez,Mobile Robot Platform,KUKA,,"Deal Notes:
Met with VP of Operations Mark Chen and Plant Manager Sarah Torres to finalize deployment plans for 6 CR-5000 collaborative robots at their Dallas facility. Customer aims to automate end-o"
OPP-000013,Company 6288,Collaborative Robot - 883,Negotiation,80,383142.33,306513.87,2025-09-24,2025-11-16,,28,Cold Call,Chris Patel,Collaborative Robot,Universal Robots,Follow up meeting,Negotiation stage opportunity
OPP-000014,Company 4169,Industrial Robot System - 695,Negotiation,80,942475.82,753980.66,2025-02-25,2025-11-19,,239,Partner,Chris Patel,Mobile Robot Platform,None,Follow up meeting,"Call Notes (03/15/24):
Met with John Chen (COO) and Sarah Martinez (Plant Director) to review final system configuration. Customer confirmed requirements for 3 RX-7000 articulated robots with vision s"
OPP-000015,Company 7804,Collaborative Robot - 432,Needs Analysis,40,1809278.03,723711.21,2025-01-02,2025-11-18,,293,Referral,Jessica Martinez,Collaborative Robot,Universal Robots,Follow up meeting,Needs Analysis stage opportunity
OPP-000016,Company 6099,Industrial Robot System - 514,Proposal,60,1813020.2,1087812.12,2024-12-12,2025-11-06,,314,Referral,Chris Patel,Mobile Robot Platform,KUKA,Follow up meeting,Proposal stage opportunity
