ap_id,vendor_id,vendor_name,invoice_number,invoice_date,due_date,amount,days_outstanding,days_overdue,aging_bucket,payment_status,payment_terms,category
AP-00001,VEN-005,CloudSoft Solutions,VINV-98040,2025-09-28,2025-11-27,104101.01,24,0,0-30 days,Scheduled,Net 60,Software Vendor
AP-00002,VEN-014,Innovation Labs,VINV-38189,2025-10-21,2025-12-05,121690.02,1,0,0-30 days,Scheduled,Net 45,Professional Services
AP-00003,VEN-006,Enterprise Systems Inc,VINV-60554,2025-09-07,2025-10-22,56747.02,45,0,31-60 days,Scheduled,Net 45,Software Vendor
AP-00004,VEN-006,Enterprise Systems Inc,VINV-22093,2025-09-21,2025-11-20,9323.69,31,0,31-60 days,Scheduled,Net 60,Software Vendor
AP-00005,VEN-008,BuildRight Construction,VINV-42044,2025-07-13,2025-08-12,11963.3,101,71,90+ days,Overdue,Net 30,Facility Services
AP-00006,VEN-007,DataGuard Security,VINV-71447,2025-08-15,2025-09-14,130100.18,68,38,61-90 days,Overdue,Net 30,Software Vendor
AP-00007,VEN-003,Industrial Sensors Co,VINV-99831,2025-08-26,2025-09-25,141364.83,57,27,31-60 days,Overdue,Net 30,Component Supplier
AP-00008,VEN-015,Metro Facilities Management,VINV-33903,2025-10-01,2025-11-30,131501.79,21,0,0-30 days,Scheduled,Net 60,Facility Services
AP-00009,VEN-001,Precision Components Inc,VINV-74269,2025-10-21,2025-12-20,122653.23,1,0,0-30 days,Scheduled,Net 60,Component Supplier
AP-00010,VEN-008,BuildRight Construction,VINV-34210,2025-08-12,2025-09-26,88288.54,71,26,61-90 days,Overdue,Net 45,Facility Services
AP-00011,VEN-006,Enterprise Systems Inc,VINV-14006,2025-10-02,2025-11-16,59026.04,20,0,0-30 days,Scheduled,Net 45,Software Vendor
AP-00012,VEN-014,Innovation Labs,VINV-34769,2025-07-30,2025-09-13,86972.78,84,39,61-90 days,Overdue,Net 45,Professional Services
AP-00013,VEN-011,Premier Insurance Group,VINV-95633,2025-07-16,2025-08-30,38209.58,98,53,90+ days,Overdue,Net 45,Insurance Provider
AP-00014,VEN-015,Metro Facilities Management,VINV-48864,2025-09-25,2025-11-09,27996.67,27,0,0-30 days,Scheduled,Net 45,Facility Services
AP-00015,VEN-003,Industrial Sensors Co,VINV-51506,2025-08-18,2025-10-02,33588.21,65,20,61-90 days,Overdue,Net 45,Component Supplier
AP-00016,VEN-012,Elite Equipment Supply,VINV-25007,2025-10-13,2025-11-12,149199.69,9,0,0-30 days,Scheduled,Net 30,Equipment Supplier
