department,job_level,employee_count,avg_base_salary,min_salary,max_salary,median_salary,avg_bonus_pct,avg_total_comp,market_percentile
Executive Leadership,Entry,4,63865.36,54285.55,76638.43,64332.54,15.1,75267.0,55
Executive Leadership,Mid,13,83184.77,70707.06,99821.73,84148.13,7.7,89951.93,60
Executive Leadership,Senior,6,110699.64,94094.7,132839.57,111643.29,13.3,127053.03,50
Executive Leadership,Lead,5,133455.36,113437.05,160146.43,133543.12,16.8,147285.95,65
Executive Leadership,Manager,4,118896.45,101061.98,142675.74,120083.51,7.8,133452.09,60
Executive Leadership,Director,9,157204.15,133623.52,188644.97,159031.26,13.2,186043.08,65
Executive Leadership,VP,13,211828.98,180054.64,254194.78,215005.02,14.0,247156.94,65
Executive Leadership,Executive,10,273207.02,232225.97,327848.43,278102.67,7.7,324135.12,55
Human Resources,Entry,2,63949.63,54357.18,76739.55,63771.69,10.0,76528.96,55
Human Resources,Mid,3,87536.0,74405.6,105043.2,87461.62,7.9,104698.82,40
Human Resources,Senior,12,108209.71,91978.25,129851.65,110060.33,12.5,131616.36,60
Human Resources,Lead,14,138819.37,117996.47,166583.25,137539.33,11.3,165114.91,65
Human Resources,Manager,5,120435.98,102370.58,144523.17,122593.71,17.5,137396.19,40
Human Resources,Director,12,168144.28,142922.64,201773.14,167059.46,8.4,196317.81,50
Human Resources,VP,13,202158.91,171835.07,242590.69,200872.97,6.3,222843.86,60
Human Resources,Executive,8,278356.96,236603.41,334028.35,283609.13,17.6,330367.92,50
Sales & Marketing,Entry,5,66914.03,56876.93,80296.84,67231.64,5.8,72277.8,60
Sales & Marketing,Mid,11,85344.92,72543.18,102413.9,85387.22,18.2,103467.47,65
Sales & Marketing,Senior,12,111140.73,94469.62,133368.88,112028.95,11.2,120221.92,50
Sales & Marketing,Lead,13,133137.0,113166.45,159764.39,131502.03,8.6,149969.77,60
Sales & Marketing,Manager,2,129247.56,109860.43,155097.08,126757.61,14.1,153802.5,60
Sales & Marketing,Director,4,160901.52,136766.29,193081.82,158153.14,18.8,190812.22,65
Sales & Marketing,VP,14,201602.24,171361.9,241922.69,203333.27,17.7,239115.41,50
Sales & Marketing,Executive,3,269178.18,228801.45,323013.81,271410.12,6.3,311265.65,60
Product Development,Entry,8,64380.12,54723.1,77256.14,65491.11,5.0,76442.07,40
Product Development,Mid,5,85833.48,72958.45,103000.17,86311.07,19.1,96886.42,60
Product Development,Senior,2,107014.16,90962.03,128416.99,106789.37,6.2,122816.11,50
Product Development,Lead,15,137696.45,117041.98,165235.74,136895.05,11.9,164916.3,40
Product Development,Manager,8,129993.3,110494.3,155991.96,130812.19,17.2,144801.11,55
Product Development,Director,7,159853.2,135875.22,191823.84,158817.74,7.9,178239.11,60
Product Development,VP,13,217969.72,185274.26,261563.66,219560.65,8.4,240453.59,40
Product Development,Executive,11,267394.09,227284.97,320872.91,270096.33,14.7,309503.86,50
Manufacturing,Entry,4,66171.54,56245.81,79405.85,66781.4,9.2,78102.6,40
Manufacturing,Mid,8,88493.87,75219.79,106192.64,87202.41,9.0,102122.93,65
Manufacturing,Senior,8,108664.47,92364.8,130397.36,107921.37,19.7,123780.46,65
Manufacturing,Lead,6,137222.31,116638.96,164666.77,136834.24,18.6,163731.86,50
Manufacturing,Manager,3,123189.23,104710.85,147827.08,125355.49,14.6,134754.21,40
Manufacturing,Director,4,172608.08,146716.86,207129.69,173085.2,7.8,202445.23,65
Manufacturing,VP,6,209116.04,177748.64,250939.25,210140.32,19.9,244018.33,65
Manufacturing,Executive,5,268009.57,227808.14,321611.49,267579.6,12.5,317826.41,50
Quality Assurance,Entry,7,66827.83,56803.65,80193.39,68116.63,13.7,78398.74,65
Quality Assurance,Mid,3,88470.25,75199.71,106164.3,89763.57,14.4,107631.24,50
Quality Assurance,Senior,2,111020.73,94367.62,133224.87,109224.46,11.4,133130.41,55
Quality Assurance,Lead,10,136766.42,116251.46,164119.71,134815.53,6.0,163324.33,55
Quality Assurance,Manager,10,127311.12,108214.45,152773.35,125502.88,19.2,153528.44,65
Quality Assurance,Director,9,165317.15,140519.58,198380.58,164806.25,14.0,196223.82,65
Quality Assurance,VP,13,203960.53,173366.45,244752.63,206284.94,6.6,222230.33,60
Quality Assurance,Executive,13,281321.06,239122.9,337585.27,285184.92,19.0,307172.75,50
Customer Service,Entry,4,63445.93,53929.04,76135.11,64333.58,12.3,70946.22,55
Customer Service,Mid,6,86257.63,73318.99,103509.16,85295.91,14.6,102903.37,40
Customer Service,Senior,11,105272.75,89481.84,126327.3,103205.93,15.5,120395.1,50
Customer Service,Lead,7,129678.13,110226.41,155613.76,129152.25,5.8,141097.41,50
Customer Service,Manager,8,129927.72,110438.56,155913.26,132395.79,10.9,142658.69,40
Customer Service,Director,7,163192.78,138713.87,195831.34,162298.34,10.1,185088.81,40
Customer Service,VP,11,209647.46,178200.34,251576.95,208049.27,18.2,250023.39,65
Customer Service,Executive,6,277974.4,236278.24,333569.28,279108.55,17.0,305192.94,60
Finance,Entry,14,65930.71,56041.1,79116.85,64916.74,8.5,73611.23,65
Finance,Mid,12,87683.29,74530.79,105219.94,88679.68,19.6,99423.16,60
Finance,Senior,13,109470.2,93049.67,131364.24,108159.26,12.3,119310.32,60
Finance,Lead,9,133962.21,113867.88,160754.65,135639.57,19.2,154729.3,50
Finance,Manager,12,126198.58,107268.79,151438.29,127922.4,15.7,138550.02,55
Finance,Director,10,170867.97,145237.77,205041.56,168081.22,5.5,194181.36,50
Finance,VP,9,202447.75,172080.58,242937.3,206341.23,11.6,246810.98,50
Finance,Executive,10,292288.24,248445.01,350745.89,291562.44,19.7,345306.3,55
IT & Systems,Entry,12,63077.7,53616.05,75693.24,61928.45,18.4,72800.88,55
IT & Systems,Mid,5,83767.7,71202.54,100521.23,84355.35,6.7,101154.22,55
IT & Systems,Senior,4,108546.98,92264.93,130256.37,109507.98,5.4,130435.07,40
IT & Systems,Lead,6,129809.55,110338.12,155771.46,131629.21,7.1,140608.31,40
IT & Systems,Manager,10,127164.25,108089.62,152597.1,127670.26,5.9,144943.05,55
IT & Systems,Director,13,168397.39,143137.78,202076.87,170498.05,9.4,197040.51,50
