quarter,total_employees,female_pct,male_pct,underrepresented_minority_pct,veterans_pct,employees_with_disabilities_pct,female_leadership_pct,minority_leadership_pct
Q4 2022,259,37.8,62.9,20.9,5.2,3.6,28.6,20.3
Q1 2023,273,34.1,63.5,18.2,3.1,2.3,28.5,16.3
Q2 2023,262,36.6,61.4,22.5,4.3,3.4,30.8,20.6
Q3 2023,248,36.1,62.7,20.6,3.8,2.6,31.9,15.8
Q4 2023,286,35.2,60.6,20.5,4.8,2.1,34.4,19.3
Q1 2024,225,35.9,62.5,19.3,3.4,4.0,31.7,18.3
Q2 2024,233,34.8,62.5,22.3,4.6,3.0,30.8,15.6
Q3 2024,276,35.1,60.2,19.2,3.9,2.7,30.5,15.5
Q4 2024,276,37.3,60.1,21.1,4.3,2.4,29.8,17.4
Q1 2025,236,36.8,62.1,20.7,3.2,2.7,28.5,15.1
Q2 2025,274,36.5,62.0,21.2,5.5,3.2,33.7,18.1
Q3 2025,247,35.5,62.7,22.3,3.7,2.4,28.6,20.8
