contract_id,contract_type,counterparty,effective_date,expiration_date,contract_value,auto_renew,notice_period_days,status,has_indemnity_clause,has_liability_limitation,has_termination_clause,governing_law,key_terms,owner,risk_level
CTR-00001,Software License Agreement,Healthcare Provider #710,2023-08-13,2026-07-28,69538.2,No,90,Active,No,Yes,No,Washington,"LICENSE TERMS AND OBLIGATIONS

Robotix grants University a non-exclusive, non-transferable license to use RoboControl Pro software for research and educational purposes at its Engineering Department f",Amanda Foster,Low
CTR-00002,Master Service Agreement,Tech Startup #837,2025-03-15,2029-02-22,322066.44,No,90,Active,Yes,No,Yes,Washington,Standard Master Service Agreement terms apply,Jennifer Park,Low
CTR-00003,Master Service Agreement,Government Agency #275,2023-09-25,2025-09-14,455480.94,Yes,60,Renewed,Yes,Yes,Yes,Washington,Standard Master Service Agreement terms apply,Jennifer Park,Medium
CTR-00004,Distribution Agreement,Government Agency #785,2023-07-12,2024-07-06,209261.41,Yes,90,Expired,Yes,Yes,Yes,New York,Standard Distribution Agreement terms apply,Amanda Foster,High
CTR-00005,Software License Agreement,Retail Chain #495,2024-12-25,2026-12-15,38961.43,Yes,30,Active,No,Yes,Yes,Washington,Standard Software License Agreement terms apply,Sophia Nguyen,Medium
CTR-00006,Lease Agreement,Government Agency #289,2024-05-14,2026-05-04,286123.08,No,60,Active,Yes,Yes,Yes,Washington,"LEASE AGREEMENT - KEY TERMS AND OBLIGATIONS

Robotix (""Lessor"") agrees to lease twelve (12) RX-750 autonomous security robots to the Department of Homeland Security (""Lessee"") for a period of 36 month",Amanda Foster,Low
CTR-00007,Consulting Services Agreement,Retail Chain #869,2025-05-11,2029-04-20,86474.23,No,90,Active,Yes,No,Yes,New York,Standard Consulting Services Agreement terms apply,Sophia Nguyen,High
CTR-00008,Supply Agreement,Government Agency #329,2023-10-07,2026-09-21,1640491.72,Yes,90,Active,Yes,Yes,No,California,Standard Supply Agreement terms apply,Michael Rodriguez,Low
CTR-00009,Equipment Purchase Agreement,Logistics Company #137,2025-08-01,2027-07-22,667855.79,No,30,Active,Yes,No,Yes,Washington,"EQUIPMENT PURCHASE AND DELIVERY TERMS

Robotix (""Seller"") agrees to manufacture, deliver, and install six (6) RX-3000 autonomous warehouse robots (""Units"") to Client's Chicago distribution facility wi",Amanda Foster,Medium
CTR-00010,Non-Disclosure Agreement (NDA),Consulting Firm #815,2023-01-15,2025-01-04,0,Yes,60,Expired,Yes,Yes,Yes,Washington,Standard Non-Disclosure Agreement (NDA) terms apply,Sophia Nguyen,High
CTR-00011,Consulting Services Agreement,University #980,2025-04-13,2029-03-23,317801.93,No,90,Active,Yes,Yes,Yes,Delaware,Standard Consulting Services Agreement terms apply,Jennifer Park,Medium
CTR-00012,Supply Agreement,Government Agency #232,2024-02-21,2028-01-31,1771897.85,No,90,Active,Yes,Yes,Yes,California,Standard Supply Agreement terms apply,Michael Rodriguez,High
CTR-00013,Distribution Agreement,Government Agency #501,2024-06-19,2026-06-09,464813.42,Yes,30,Active,Yes,Yes,Yes,New York,Standard Distribution Agreement terms apply,Amanda Foster,Medium
CTR-00014,Partnership Agreement,Retail Chain #307,2025-08-07,2029-07-17,444509.64,No,60,Active,No,Yes,Yes,Delaware,Standard Partnership Agreement terms apply,Sarah Chen,Low
CTR-00015,Partnership Agreement,Automotive Manufacturer #525,2024-11-12,2026-11-02,457474.35,No,30,Active,Yes,No,Yes,Delaware,"PARTNERSHIP AGREEMENT - KEY TERMS AND OBLIGATIONS

Robotix agrees to deliver and maintain 12 autonomous security robots for deployment at designated government facilities over a 24-month period commen",Sophia Nguyen,Low
