feature_id,product_name,feature_name,feature_type,release_date,days_since_release,adoption_rate_pct,monthly_active_users,users_adopted_count,usage_frequency,avg_session_time_minutes,customer_satisfaction,support_tickets_count
FTR-0001,RobotOS Control Suite,Automation Feature 1,Automation,2024-05-12,528,52.5,4159,2181,Occasional,41.1,4.3,8
FTR-0002,Fleet Management Platform,Integration Feature 2,Integration,2025-04-21,184,68.2,1833,1250,Daily,21.1,3.6,21
FTR-0003,Fleet Management Platform,Collaboration Feature 3,Collaboration,2025-06-22,122,57.3,4436,2542,Daily,17.6,4.1,17
FTR-0004,Simulation Tool,Automation Feature 4,Automation,2023-12-15,677,68.4,2584,1768,Monthly,15.0,5.0,13
FTR-0005,Simulation Tool,Collaboration Feature 5,Collaboration,2024-01-19,642,80.8,4195,3391,Occasional,18.0,4.5,22
FTR-0006,RobotOS Control Suite,Automation Feature 6,Automation,2024-11-08,348,65.4,136,88,Occasional,7.9,3.9,25
FTR-0007,Simulation Tool,Advanced Tool Feature 7,Advanced Tool,2024-02-27,603,46.1,1601,737,Occasional,34.0,3.7,21
FTR-0008,RobotOS Control Suite,Core Functionality Feature 8,Core Functionality,2025-02-09,255,84.8,1633,1384,Occasional,22.2,4.8,25
FTR-0009,Predictive Maintenance AI,Reporting Feature 9,Reporting,2025-09-19,33,14.6,769,112,Monthly,21.2,4.7,22
FTR-0010,Predictive Maintenance AI,Analytics Feature 10,Analytics,2025-08-10,73,22.3,1546,344,Occasional,34.4,4.9,4
FTR-0011,Simulation Tool,Automation Feature 11,Automation,2024-07-09,470,77.0,675,519,Daily,18.6,4.8,1
FTR-0012,RobotOS Control Suite,Integration Feature 12,Integration,2025-06-13,131,54.7,3185,1741,Monthly,26.8,4.4,7
FTR-0013,Predictive Maintenance AI,Reporting Feature 13,Reporting,2024-06-26,483,87.2,3619,3156,Occasional,22.3,4.1,6
FTR-0014,Fleet Management Platform,Automation Feature 14,Automation,2025-05-07,168,88.4,1454,1285,Daily,44.6,3.9,9
FTR-0015,Fleet Management Platform,Advanced Tool Feature 15,Advanced Tool,2025-07-07,107,46.0,247,113,Daily,15.7,4.0,10
FTR-0016,RobotOS Control Suite,Automation Feature 16,Automation,2025-05-11,164,60.8,3481,2117,Occasional,12.5,4.4,15
FTR-0017,RobotOS Control Suite,Core Functionality Feature 17,Core Functionality,2025-01-16,279,44.2,3868,1709,Weekly,31.5,5.0,3
FTR-0018,Predictive Maintenance AI,Automation Feature 18,Automation,2024-06-15,494,40.4,3857,1557,Daily,23.4,4.2,3
FTR-0019,Fleet Management Platform,Advanced Tool Feature 19,Advanced Tool,2024-11-25,331,82.9,179,148,Daily,34.7,4.6,7
FTR-0020,RobotOS Control Suite,Advanced Tool Feature 20,Advanced Tool,2024-04-23,547,40.2,3881,1558,Daily,8.5,4.9,23
FTR-0021,Predictive Maintenance AI,Analytics Feature 21,Analytics,2024-03-07,594,83.7,2347,1964,Weekly,22.6,4.4,11
FTR-0022,Simulation Tool,Core Functionality Feature 22,Core Functionality,2024-07-18,461,77.9,4072,3173,Monthly,8.1,3.6,12
FTR-0023,Simulation Tool,Analytics Feature 23,Analytics,2025-04-30,175,62.2,4990,3104,Monthly,31.1,4.4,22
FTR-0024,Fleet Management Platform,Analytics Feature 24,Analytics,2023-12-29,663,58.4,3285,1917,Occasional,13.9,4.1,10
FTR-0025,Predictive Maintenance AI,Automation Feature 25,Automation,2024-01-29,632,53.2,4577,2436,Monthly,25.5,3.6,22
FTR-0026,Predictive Maintenance AI,Analytics Feature 26,Analytics,2024-03-03,598,66.1,2547,1684,Occasional,29.8,3.6,17
FTR-0027,Fleet Management Platform,Reporting Feature 27,Reporting,2025-07-09,105,44.2,1356,598,Daily,19.9,4.0,10
FTR-0028,Predictive Maintenance AI,Analytics Feature 28,Analytics,2023-12-29,663,55.8,1648,919,Occasional,31.3,4.0,0
FTR-0029,Simulation Tool,Automation Feature 29,Automation,2024-03-27,574,77.9,4566,3558,Occasional,5.6,4.4,11
FTR-0030,RobotOS Control Suite,Advanced Tool Feature 30,Advanced Tool,2024-07-10,469,94.0,1787,1679,Occasional,18.7,4.6,7
FTR-0031,Fleet Management Platform,Collaboration Feature 31,Collaboration,2024-03-04,597,72.3,697,503,Monthly,13.3,4.4,4
FTR-0032,Fleet Management Platform,Reporting Feature 32,Reporting,2024-03-12,589,53.4,4512,2410,Daily,7.6,3.8,14
FTR-0033,RobotOS Control Suite,Collaboration Feature 33,Collaboration,2025-08-29,54,21.1,3470,731,Monthly,30.6,4.2,2
FTR-0034,Fleet Management Platform,Advanced Tool Feature 34,Advanced Tool,2025-03-06,230,74.2,2364,1753,Daily,24.9,4.2,25
FTR-0035,Simulation Tool,Automation Feature 35,Automation,2025-03-22,214,40.5,4798,1944,Monthly,24.5,4.4,19
FTR-0036,Predictive Maintenance AI,Integration Feature 36,Integration,2024-11-08,348,67.9,396,268,Monthly,35.3,4.3,1
FTR-0037,Simulation Tool,Core Functionality Feature 37,Core Functionality,2024-02-27,603,63.2,4391,2774,Occasional,34.1,4.2,16
FTR-0038,Fleet Management Platform,Reporting Feature 38,Reporting,2024-04-07,563,50.9,1716,872,Occasional,38.7,4.2,5
FTR-0039,Fleet Management Platform,Analytics Feature 39,Analytics,2025-03-16,220,93.5,3306,3090,Monthly,9.5,4.6,23
FTR-0040,Predictive Maintenance AI,Analytics Feature 40,Analytics,2025-06-04,140,55.3,1219,673,Weekly,19.8,4.8,23
