feedback_id,product_name,feedback_type,title,description,submitted_date,submitted_by,customer_segment,status,priority,votes,assigned_to,target_release,sentiment
FB-00001,RobotOS Control Suite,Feature Request,Feature Request #1,Feature Request for Predictive Maintenance AI,2025-03-12,Email,Startup,In Development,Medium,42,Emily Thompson,6.4.0,Positive
FB-00002,Fleet Management Platform,Feature Request,Feature Request #2,Feature Request for RobotOS Control Suite,2025-06-02,Support Ticket,Startup,New,Low,3,,,Negative
FB-00003,Vision System Pro,Feature Request,Feature Request #3,"We need the ability to create custom geofencing rules that can be applied across multiple robot types in our facility. Currently, we can only set basic boundaries, but it would be extremely valuable t",2025-05-31,Email,SMB,New,High,115,,,Neutral
FB-00004,Vision System Pro,Usability Feedback,Usability Feedback #4,Usability Feedback for Fleet Management Platform,2024-11-24,Sales Rep,Startup,Planned,Medium,36,Rachel Green,2.5.0,Negative
FB-00005,Fleet Management Platform,Performance Issue,Performance Issue #5,Performance Issue for RobotOS Control Suite,2025-08-23,Email,SMB,New,Medium,34,,,Neutral
FB-00006,Vision System Pro,Bug Report,Bug Report #6,"The false positive rate in the vibration analysis module is becoming a significant issue for our production line. Over the past 3 months, we've received at least 12 ""critical"" alerts for our CNC machi",2025-10-21,Support Ticket,Startup,Planned,High,114,Rachel Green,3.3.0,Positive
FB-00007,Fleet Management Platform,Compliment,Compliment #7,Compliment for Fleet Management Platform,2025-05-20,Email,Enterprise,Planned,High,73,Emily Thompson,2.2.0,Negative
FB-00008,Vision System Pro,Feature Request,Feature Request #8,Feature Request for Vision System Pro,2024-11-03,Sales Rep,Startup,In Development,Medium,46,Rachel Green,4.3.0,Positive
FB-00009,Predictive Maintenance AI,Usability Feedback,Usability Feedback #9,"The current alert thresholds in the predictive maintenance system are too rigid. While we appreciate the early warning capabilities, we're getting numerous false positives when our CNC machines experi",2025-07-09,Support Ticket,SMB,Planned,Medium,32,Emily Thompson,3.2.0,Neutral
FB-00010,RobotOS Control Suite,Compliment,Compliment #10,The new process visualization feature in RobotOS Control Suite has dramatically improved our production monitoring. Being able to see real-time joint positions and path planning in 3D has made trouble,2025-07-10,Customer Portal,Enterprise,New,Medium,47,,,Neutral
FB-00011,Fleet Management Platform,Feature Request,Feature Request #11,Feature Request for Vision System Pro,2025-09-23,Email,SMB,Completed,High,120,Emily Thompson,,Positive
FB-00012,RobotOS Control Suite,Compliment,Compliment #12,Compliment for RobotOS Control Suite,2024-11-10,Sales Rep,Enterprise,Planned,High,91,Marcus Johnson,4.2.0,Negative
FB-00013,RobotOS Control Suite,Usability Feedback,Usability Feedback #13,Usability Feedback for Fleet Management Platform,2025-06-23,Email,Enterprise,Under Review,Medium,42,Nicole Sanders,,Positive
FB-00014,Fleet Management Platform,Performance Issue,Performance Issue #14,"Performance issues with RobotOS Control Suite's real-time path planning module are causing significant delays in our manufacturing line. When running multiple robotic arms simultaneously, we're experi",2024-11-22,Support Ticket,SMB,Planned,High,141,Emily Thompson,6.2.0,Negative
FB-00015,Fleet Management Platform,Bug Report,Bug Report #15,"Subject: Control Suite freezes during multi-robot coordination tasks

When running multiple robots (4+ units) through synchronized movement sequences, the RobotOS Control Suite frequently becomes unre",2024-11-11,Sales Rep,Startup,New,High,96,,,Neutral
FB-00016,Fleet Management Platform,Bug Report,Bug Report #16,Bug Report for Predictive Maintenance AI,2025-07-18,Email,Startup,New,Low,2,,,Negative
FB-00017,Vision System Pro,Performance Issue,Performance Issue #17,Performance Issue for Vision System Pro,2025-06-15,Email,Enterprise,Under Review,Medium,26,Nicole Sanders,,Neutral
FB-00018,Fleet Management Platform,Compliment,Compliment #18,I'm really impressed with how the new RobotOS Control Suite handles multi-robot coordination. The visual programming interface makes it much easier to set up complex automation sequences compared to t,2025-02-09,Customer Portal,SMB,Planned,High,130,Nicole Sanders,5.5.0,Positive
FB-00019,RobotOS Control Suite,Usability Feedback,Usability Feedback #19,Usability Feedback for RobotOS Control Suite,2025-09-05,Customer Portal,SMB,New,High,109,,,Negative
FB-00020,RobotOS Control Suite,Usability Feedback,Usability Feedback #20,"The current workflow for creating custom automation sequences in RobotOS Control Suite is unnecessarily complex. While the drag-and-drop interface works well for basic tasks, we need a more efficient ",2025-01-25,Customer Portal,Startup,In Development,High,55,Nicole Sanders,4.2.0,Negative
FB-00021,Vision System Pro,Bug Report,Bug Report #21,Bug Report for Vision System Pro,2025-10-07,Email,Startup,Completed,High,82,Marcus Johnson,,Negative
FB-00022,RobotOS Control Suite,Performance Issue,Performance Issue #22,Performance Issue for Predictive Maintenance AI,2025-08-04,Sales Rep,Startup,In Development,Medium,37,Marcus Johnson,4.3.0,Negative
FB-00023,Vision System Pro,Feature Request,Feature Request #23,Feature Request for Fleet Management Platform,2025-06-22,Email,SMB,Planned,Medium,21,Marcus Johnson,4.5.0,Negative
FB-00024,RobotOS Control Suite,Compliment,Compliment #24,Compliment for Vision System Pro,2025-08-17,Customer Portal,SMB,Declined,Medium,25,,,Neutral
FB-00025,Predictive Maintenance AI,Feature Request,Feature Request #25,"I've been using RobotOS Control Suite for our manufacturing line, and we desperately need better error handling for multi-robot coordination. Currently, when one robot in a sequence fails, the entire ",2025-04-16,Support Ticket,SMB,Completed,Low,16,Nicole Sanders,,Negative
