quote_id,opportunity_id,customer_name,quote_date,valid_until,subtotal,discount_pct,discount_amount,tax,total,status,payment_terms,delivery_time_weeks,owner,revision_number,follow_up_date
QUO-000001,OPP-000105,Company 6994,2025-08-04,2025-09-03,400172.74,0,0.0,32013.82,432186.56,Rejected,Net 60,6,David Martinez,3,
QUO-000002,OPP-000145,Company 2356,2025-10-03,2025-11-02,72074.6,10,7207.46,5189.37,70056.51,Sent,Net 30,6,David Martinez,3,2025-10-10
QUO-000003,OPP-000053,Company 3229,2025-10-18,2025-11-17,377667.97,20,75533.59,24170.75,326305.12,Expired,Net 30,12,David Martinez,1,
QUO-000004,OPP-000111,Company 8466,2025-02-02,2025-04-03,259638.41,15,38945.76,17655.41,238348.06,Rejected,Net 45,12,Jessica Martinez,1,
QUO-000005,OPP-000036,Company 3195,2025-03-21,2025-05-20,209853.27,5,10492.66,15948.85,215309.45,Sent,50% Upfront,6,Jessica Martinez,3,2025-03-28
QUO-000006,OPP-000190,Company 4372,2025-04-12,2025-07-11,307319.2,15,46097.88,20897.71,282119.02,Sent,Net 60,4,Chris Patel,3,2025-04-19
QUO-000007,OPP-000002,Company 5636,2025-05-18,2025-07-17,319852.85,0,0.0,25588.23,345441.08,Accepted,Net 45,8,Jessica Martinez,2,
QUO-000008,OPP-000011,Company 1788,2025-01-01,2025-02-15,115467.55,0,0.0,9237.4,124704.96,Sent,Net 45,12,David Martinez,1,2025-01-08
QUO-000009,OPP-000037,Company 6959,2025-04-25,2025-07-24,317964.94,10,31796.49,22893.48,309061.92,Accepted,Net 30,12,David Martinez,3,
QUO-000010,OPP-000095,Company 3259,2025-04-12,2025-05-27,383718.41,0,0.0,30697.47,414415.88,Sent,Net 45,8,Chris Patel,2,2025-04-19
QUO-000011,OPP-000044,Company 9907,2025-04-08,2025-05-08,486271.48,0,0.0,38901.72,525173.2,Rejected,Net 45,4,Chris Patel,1,
QUO-000012,OPP-000029,Company 9419,2025-06-11,2025-07-11,252836.14,5,12641.81,19215.55,259409.88,Rejected,50% Upfront,12,Chris Patel,3,
QUO-000013,OPP-000180,Company 7620,2025-05-21,2025-06-20,374646.45,15,56196.97,25475.96,343925.44,Viewed,Net 45,16,David Martinez,3,
QUO-000014,OPP-000181,Company 1881,2025-03-05,2025-06-03,281384.41,5,14069.22,21385.21,288700.4,Expired,Net 45,8,Jessica Martinez,2,
QUO-000015,OPP-000182,Company 8741,2025-03-08,2025-05-07,449152.61,10,44915.26,32338.99,436576.33,Accepted,Net 30,6,David Martinez,2,
QUO-000016,OPP-000057,Company 6372,2025-07-29,2025-08-28,492854.85,10,49285.49,35485.55,479054.92,Rejected,Net 45,4,David Martinez,2,
QUO-000017,OPP-000109,Company 2217,2025-02-12,2025-03-29,55996.04,20,11199.21,3583.75,48380.58,Draft,50% Upfront,6,Jessica Martinez,3,
QUO-000018,OPP-000035,Company 9488,2025-09-02,2025-11-01,466478.57,5,23323.93,35452.37,478607.01,Expired,Net 60,16,Jessica Martinez,3,
QUO-000019,OPP-000147,Company 5586,2025-10-11,2025-11-10,347981.54,0,0.0,27838.52,375820.06,Draft,Net 45,16,Jessica Martinez,1,
QUO-000020,OPP-000048,Company 9831,2025-06-21,2025-08-05,317116.82,5,15855.84,24100.88,325361.85,Sent,Net 30,16,Jessica Martinez,3,2025-06-28
QUO-000021,OPP-000076,Company 4849,2025-04-28,2025-06-27,205548.57,20,41109.71,13155.11,177593.96,Sent,50% Upfront,12,David Martinez,2,2025-05-05
QUO-000022,OPP-000045,Company 8964,2025-08-12,2025-11-10,473568.51,15,71035.28,32202.66,434735.89,Sent,Net 45,6,Chris Patel,2,2025-08-19
QUO-000023,OPP-000197,Company 7068,2024-12-21,2025-03-21,414251.33,0,0.0,33140.11,447391.44,Sent,Net 30,6,Chris Patel,1,2024-12-28
QUO-000024,OPP-000198,Company 4010,2025-03-02,2025-05-01,27354.63,5,1367.73,2078.95,28065.85,Accepted,Net 60,4,Chris Patel,1,
QUO-000025,OPP-000070,Company 6573,2025-01-08,2025-02-07,52133.16,10,5213.32,3753.59,50673.43,Draft,Net 60,4,Chris Patel,1,
QUO-000026,OPP-000119,Company 9810,2025-02-11,2025-04-12,246950.08,20,49390.02,15804.81,213364.87,Sent,Net 60,6,David Martinez,1,2025-02-18
QUO-000027,OPP-000050,Company 3475,2025-09-14,2025-11-13,354877.63,10,35487.76,25551.19,344941.06,Expired,Net 60,8,Jessica Martinez,3,
QUO-000028,OPP-000110,Company 4012,2025-01-19,2025-03-20,223694.96,15,33554.24,15211.26,205351.97,Expired,Net 60,4,David Martinez,3,
QUO-000029,OPP-000155,Company 2384,2024-12-01,2025-01-15,277762.47,20,55552.49,17776.8,239986.78,Viewed,Net 45,12,Jessica Martinez,1,
QUO-000030,OPP-000131,Company 4596,2025-10-17,2026-01-15,64444.22,15,9666.63,4382.21,59159.8,Draft,Net 60,8,David Martinez,2,
QUO-000031,OPP-000150,Company 8078,2025-04-10,2025-05-10,409979.97,15,61497.0,27878.64,376361.61,Accepted,Net 60,6,Jessica Martinez,1,
QUO-000032,OPP-000043,Company 6680,2025-10-04,2025-11-03,288372.94,15,43255.94,19609.36,264726.36,Sent,Net 60,6,Jessica Martinez,2,2025-10-11
QUO-000033,OPP-000192,Company 8648,2025-09-03,2025-11-02,87623.33,5,4381.17,6659.37,89901.53,Accepted,Net 30,12,David Martinez,3,
QUO-000034,OPP-000138,Company 5262,2025-07-18,2025-09-16,253556.24,10,25355.62,18256.05,246456.67,Sent,Net 45,8,Jessica Martinez,1,2025-07-25
QUO-000035,OPP-000180,Company 1225,2024-11-04,2024-12-19,150546.57,10,15054.66,10839.35,146331.27,Viewed,Net 30,4,David Martinez,3,
QUO-000036,OPP-000194,Company 4954,2024-11-04,2024-12-04,287998.57,5,14399.93,21887.89,295486.53,Accepted,50% Upfront,8,David Martinez,1,
QUO-000037,OPP-000166,Company 6799,2025-02-19,2025-04-20,43091.18,10,4309.12,3102.57,41884.63,Accepted,Net 30,12,David Martinez,1,
QUO-000038,OPP-000043,Company 1096,2024-12-03,2025-02-01,106190.65,15,15928.6,7220.96,97483.02,Viewed,50% Upfront,4,Chris Patel,1,
QUO-000039,OPP-000059,Company 4275,2025-06-04,2025-07-04,144807.59,10,14480.76,10426.15,140752.98,Sent,50% Upfront,16,David Martinez,1,2025-06-11
QUO-000040,OPP-000008,Company 6093,2025-07-21,2025-10-19,231163.52,20,46232.7,14794.47,199725.28,Sent,Net 45,16,Jessica Martinez,2,2025-07-28
QUO-000041,OPP-000009,Company 4287,2025-02-27,2025-03-29,177361.33,0,0.0,14188.91,191550.23,Rejected,Net 45,6,Chris Patel,2,
QUO-000042,OPP-000037,Company 7694,2025-03-16,2025-06-14,494033.52,20,98806.7,31618.15,426844.96,Accepted,Net 60,16,Jessica Martinez,2,
QUO-000043,OPP-000154,Company 5269,2025-03-28,2025-05-27,123415.73,20,24683.15,7898.61,106631.19,Draft,Net 30,8,Chris Patel,1,
QUO-000044,OPP-000187,Company 6320,2025-01-01,2025-02-15,322635.22,5,16131.76,24520.28,331023.74,Rejected,Net 45,8,Jessica Martinez,2,
QUO-000045,OPP-000054,Company 1508,2025-08-25,2025-10-09,441719.22,20,88343.84,28270.03,381645.41,Accepted,Net 60,8,Chris Patel,3,
QUO-000046,OPP-000165,Company 7319,2025-01-10,2025-02-24,459944.95,0,0.0,36795.6,496740.54,Rejected,Net 60,12,Jessica Martinez,2,
